fid,id,left,top,right,bottom,row_index,col_index,CNN_30m_51mean
"64997","64997",340603.875535156,6533665.8492533,340633.875535156,6533635.8492533,"274","201",2.84937630229526
"65307","65307",340633.875535156,6534025.8492533,340663.875535156,6533995.8492533,"262","202",0.699544246707644
"65308","65308",340633.875535156,6533995.8492533,340663.875535156,6533965.8492533,"263","202",0.55918883292003
"65309","65309",340633.875535156,6533965.8492533,340663.875535156,6533935.8492533,"264","202",0.622535455656972
"65310","65310",340633.875535156,6533935.8492533,340663.875535156,6533905.8492533,"265","202",1.18806192563263
"65311","65311",340633.875535156,6533905.8492533,340663.875535156,6533875.8492533,"266","202",2.13564093364064
"65312","65312",340633.875535156,6533875.8492533,340663.875535156,6533845.8492533,"267","202",1.40568576182998
"65313","65313",340633.875535156,6533845.8492533,340663.875535156,6533815.8492533,"268","202",1.32390291998494
"65314","65314",340633.875535156,6533815.8492533,340663.875535156,6533785.8492533,"269","202",1.64421350967472
"65315","65315",340633.875535156,6533785.8492533,340663.875535156,6533755.8492533,"270","202",1.98142726423274
"65316","65316",340633.875535156,6533755.8492533,340663.875535156,6533725.8492533,"271","202",2.49260336944035
"65317","65317",340633.875535156,6533725.8492533,340663.875535156,6533695.8492533,"272","202",2.23399119548536
"65318","65318",340633.875535156,6533695.8492533,340663.875535156,6533665.8492533,"273","202",2.23832692048862
"65319","65319",340633.875535156,6533665.8492533,340663.875535156,6533635.8492533,"274","202",2.60315371328785
"65320","65320",340633.875535156,6533635.8492533,340663.875535156,6533605.8492533,"275","202",2.58566366162843
"65321","65321",340633.875535156,6533605.8492533,340663.875535156,6533575.8492533,"276","202",2.37388672690461
"65629","65629",340663.875535156,6534025.8492533,340693.875535156,6533995.8492533,"262","203",1.11056731327584
"65630","65630",340663.875535156,6533995.8492533,340693.875535156,6533965.8492533,"263","203",1.36442502073603
"65631","65631",340663.875535156,6533965.8492533,340693.875535156,6533935.8492533,"264","203",0.786797785159555
"65632","65632",340663.875535156,6533935.8492533,340693.875535156,6533905.8492533,"265","203",1.01297776235205
"65633","65633",340663.875535156,6533905.8492533,340693.875535156,6533875.8492533,"266","203",2.1903888117658
"65634","65634",340663.875535156,6533875.8492533,340693.875535156,6533845.8492533,"267","203",1.65498568694785
"65635","65635",340663.875535156,6533845.8492533,340693.875535156,6533815.8492533,"268","203",0.80253781715836
"65636","65636",340663.875535156,6533815.8492533,340693.875535156,6533785.8492533,"269","203",2.04500172992338
"65637","65637",340663.875535156,6533785.8492533,340693.875535156,6533755.8492533,"270","203",2.49597442987855
"65638","65638",340663.875535156,6533755.8492533,340693.875535156,6533725.8492533,"271","203",2.43548459619571
"65639","65639",340663.875535156,6533725.8492533,340693.875535156,6533695.8492533,"272","203",2.18730550456432
"65640","65640",340663.875535156,6533695.8492533,340693.875535156,6533665.8492533,"273","203",3.08040627995316
"65641","65641",340663.875535156,6533665.8492533,340693.875535156,6533635.8492533,"274","203",2.35668114645291
"65642","65642",340663.875535156,6533635.8492533,340693.875535156,6533605.8492533,"275","203",3.17241641586337
"65643","65643",340663.875535156,6533605.8492533,340693.875535156,6533575.8492533,"276","203",2.73815697436383
"65644","65644",340663.875535156,6533575.8492533,340693.875535156,6533545.8492533,"277","203",2.31877977577558
