id,left,top,right,bottom,CNN_10m_0mean
"455307",16174634.9785,-3673764.1298,16174644.9785,-3673774.1298,0.814879126548767
"455308",16174634.9785,-3673774.1298,16174644.9785,-3673784.1298,0.722141272425652
"455309",16174634.9785,-3673784.1298,16174644.9785,-3673794.1298,1.0231818395853
"455310",16174634.9785,-3673794.1298,16174644.9785,-3673804.1298,1.10371067166328
"455311",16174634.9785,-3673804.1298,16174644.9785,-3673814.1298,0.84810594022274
"455312",16174634.9785,-3673814.1298,16174644.9785,-3673824.1298,0.454597215056419
"455313",16174634.9785,-3673824.1298,16174644.9785,-3673834.1298,0.293110157052676
"455314",16174634.9785,-3673834.1298,16174644.9785,-3673844.1298,0.33790217936039
"456427",16174644.9785,-3673744.1298,16174654.9785,-3673754.1298,1.50549561977386
"456428",16174644.9785,-3673754.1298,16174654.9785,-3673764.1298,1.24679186403751
"456429",16174644.9785,-3673764.1298,16174654.9785,-3673774.1298,0.735927433371544
"456430",16174644.9785,-3673774.1298,16174654.9785,-3673784.1298,0.647752740979195
"456431",16174644.9785,-3673784.1298,16174654.9785,-3673794.1298,0.875261262059212
"456432",16174644.9785,-3673794.1298,16174654.9785,-3673804.1298,0.880779481530189
"456433",16174644.9785,-3673804.1298,16174654.9785,-3673814.1298,0.62633092969656
"456434",16174644.9785,-3673814.1298,16174654.9785,-3673824.1298,0.46575135409832
"456435",16174644.9785,-3673824.1298,16174654.9785,-3673834.1298,0.472682486772537
"456436",16174644.9785,-3673834.1298,16174654.9785,-3673844.1298,0.487159543878892
"456437",16174644.9785,-3673844.1298,16174654.9785,-3673854.1298,0.475438591979799
"457549",16174654.9785,-3673744.1298,16174664.9785,-3673754.1298,0.8298180103302
"457550",16174654.9785,-3673754.1298,16174664.9785,-3673764.1298,0.702984312772751
"457551",16174654.9785,-3673764.1298,16174664.9785,-3673774.1298,0.462132392525673
"457552",16174654.9785,-3673774.1298,16174664.9785,-3673784.1298,0.589613133370876
"457553",16174654.9785,-3673784.1298,16174664.9785,-3673794.1298,0.928506292700768
"457554",16174654.9785,-3673794.1298,16174664.9785,-3673804.1298,0.961862898468971
"457555",16174654.9785,-3673804.1298,16174664.9785,-3673814.1298,0.664108300507069
"457556",16174654.9785,-3673814.1298,16174664.9785,-3673824.1298,0.493850373327732
"457557",16174654.9785,-3673824.1298,16174664.9785,-3673834.1298,0.528797536194324
"457558",16174654.9785,-3673834.1298,16174664.9785,-3673844.1298,0.602527805864811
"457559",16174654.9785,-3673844.1298,16174664.9785,-3673854.1298,0.720832013487816
"457560",16174654.9785,-3673854.1298,16174664.9785,-3673864.1298,0.910030277286257
"457561",16174654.9785,-3673864.1298,16174664.9785,-3673874.1298,0.94349292630241
"457562",16174654.9785,-3673874.1298,16174664.9785,-3673884.1298,0.898806929588318
"457571",16174654.9785,-3673964.1298,16174664.9785,-3673974.1298,1.13069972038269
"457572",16174654.9785,-3673974.1298,16174664.9785,-3673984.1298,1.1776429216067
"458671",16174664.9785,-3673744.1298,16174674.9785,-3673754.1298,0.27328268289566
"458672",16174664.9785,-3673754.1298,16174674.9785,-3673764.1298,0.213889727145433
"458673",16174664.9785,-3673764.1298,16174674.9785,-3673774.1298,0.26211832433939
"458674",16174664.9785,-3673774.1298,16174674.9785,-3673784.1298,0.564717356562614
"458675",16174664.9785,-3673784.1298,16174674.9785,-3673794.1298,1.0400282651186
"458676",16174664.9785,-3673794.1298,16174674.9785,-3673804.1298,1.29760845184326
"458677",16174664.9785,-3673804.1298,16174674.9785,-3673814.1298,1.08465108394623
"458678",16174664.9785,-3673814.1298,16174674.9785,-3673824.1298,0.662851595282555
"458679",16174664.9785,-3673824.1298,16174674.9785,-3673834.1298,0.431326490938663
"458680",16174664.9785,-3673834.1298,16174674.9785,-3673844.1298,0.616018964350224
"458681",16174664.9785,-3673844.1298,16174674.9785,-3673854.1298,1.15208526015282
"458682",16174664.9785,-3673854.1298,16174674.9785,-3673864.1298,1.42939197421074
"458683",16174664.9785,-3673864.1298,16174674.9785,-3673874.1298,1.09632459521294
"458684",16174664.9785,-3673874.1298,16174674.9785,-3673884.1298,0.677997341156006
"458685",16174664.9785,-3673884.1298,16174674.9785,-3673894.1298,0.384461187654071
"458686",16174664.9785,-3673894.1298,16174674.9785,-3673904.1298,0.288264745874465
