fid,id,left,top,right,bottom,row_index,col_index,CNN_30m_0mean
40515,40515,338323.875535156,6533965.8492533,338353.875535156,6533935.8492533,264,125,0.620290406490788
40516,40516,338323.875535156,6533935.8492533,338353.875535156,6533905.8492533,265,125,0.541603182364307
40517,40517,338323.875535156,6533905.8492533,338353.875535156,6533875.8492533,266,125,0.373358034449482
40518,40518,338323.875535156,6533875.8492533,338353.875535156,6533845.8492533,267,125,1.83956070628239
41812,41812,338443.875535156,6533695.8492533,338473.875535156,6533665.8492533,273,129,3.49270007790351
41813,41813,338443.875535156,6533665.8492533,338473.875535156,6533635.8492533,274,129,3.35424104469149
41814,41814,338443.875535156,6533635.8492533,338473.875535156,6533605.8492533,275,129,1.55692008480838
41815,41815,338443.875535156,6533605.8492533,338473.875535156,6533575.8492533,276,129,1.2244811422295
41816,41816,338443.875535156,6533575.8492533,338473.875535156,6533545.8492533,277,129,0.940165792063036
41817,41817,338443.875535156,6533545.8492533,338473.875535156,6533515.8492533,278,129,2.69359552625294
41818,41818,338443.875535156,6533515.8492533,338473.875535156,6533485.8492533,279,129,4.16387105131493
41819,41819,338443.875535156,6533485.8492533,338473.875535156,6533455.8492533,280,129,3.20365672204856
41820,41820,338443.875535156,6533455.8492533,338473.875535156,6533425.8492533,281,129,2.94584244431707
41821,41821,338443.875535156,6533425.8492533,338473.875535156,6533395.8492533,282,129,3.37248288078201
41822,41822,338443.875535156,6533395.8492533,338473.875535156,6533365.8492533,283,129,4.85010518882286
41823,41823,338443.875535156,6533365.8492533,338473.875535156,6533335.8492533,284,129,4.02273761690879
41824,41824,338443.875535156,6533335.8492533,338473.875535156,6533305.8492533,285,129,4.9292490291364
41825,41825,338443.875535156,6533305.8492533,338473.875535156,6533275.8492533,286,129,4.33479878791097
41826,41826,338443.875535156,6533275.8492533,338473.875535156,6533245.8492533,287,129,2.42980646847529
41827,41827,338443.875535156,6533245.8492533,338473.875535156,6533215.8492533,288,129,3.38042515623239
41828,41828,338443.875535156,6533215.8492533,338473.875535156,6533185.8492533,289,129,4.8070082437241
41829,41829,338443.875535156,6533185.8492533,338473.875535156,6533155.8492533,290,129,4.95219416152208
41830,41830,338443.875535156,6533155.8492533,338473.875535156,6533125.8492533,291,129,3.19389671133078
41831,41831,338443.875535156,6533125.8492533,338473.875535156,6533095.8492533,292,129,2.76699423170206
41832,41832,338443.875535156,6533095.8492533,338473.875535156,6533065.8492533,293,129,2.79015557717698
41833,41833,338443.875535156,6533065.8492533,338473.875535156,6533035.8492533,294,129,5.37211947892318
41834,41834,338443.875535156,6533035.8492533,338473.875535156,6533005.8492533,295,129,1.88396002495936
41835,41835,338443.875535156,6533005.8492533,338473.875535156,6532975.8492533,296,129,0.998364965367085
41836,41836,338443.875535156,6532975.8492533,338473.875535156,6532945.8492533,297,129,2.04209347246343
41837,41837,338443.875535156,6532945.8492533,338473.875535156,6532915.8492533,298,129,2.32034605416732
41838,41838,338443.875535156,6532915.8492533,338473.875535156,6532885.8492533,299,129,3.474852625671
41839,41839,338443.875535156,6532885.8492533,338473.875535156,6532855.8492533,300,129,3.60422565991228
41840,41840,338443.875535156,6532855.8492533,338473.875535156,6532825.8492533,301,129,4.08775589181989
41841,41841,338443.875535156,6532825.8492533,338473.875535156,6532795.8492533,302,129,3.61598449155509
41842,41842,338443.875535156,6532795.8492533,338473.875535156,6532765.8492533,303,129,3.20531973105211
41843,41843,338443.875535156,6532765.8492533,338473.875535156,6532735.8492533,304,129,5.13382914971332
41844,41844,338443.875535156,6532735.8492533,338473.875535156,6532705.8492533,305,129,2.79325648167959
41845,41845,338443.875535156,6532705.8492533,338473.875535156,6532675.8492533,306,129,3.87003468833684
41846,41846,338443.875535156,6532675.8492533,338473.875535156,6532645.8492533,307,129,4.28402978414065
41847,41847,338443.875535156,6532645.8492533,338473.875535156,6532615.8492533,308,129,3.82263905450653
41848,41848,338443.875535156,6532615.8492533,338473.875535156,6532585.8492533,309,129,3.45668877297349
41849,41849,338443.875535156,6532585.8492533,338473.875535156,6532555.8492533,310,129,3.11538511697323
41850,41850,338443.875535156,6532555.8492533,338473.875535156,6532525.8492533,311,129,1.56140935657036
41851,41851,338443.875535156,6532525.8492533,338473.875535156,6532495.8492533,312,129,2.6309603608836
41852,41852,338443.875535156,6532495.8492533,338473.875535156,6532465.8492533,313,129,4.65089178180924
41853,41853,338443.875535156,6532465.8492533,338473.875535156,6532435.8492533,314,129,4.49626903062085
41854,41854,338443.875535156,6532435.8492533,338473.875535156,6532405.8492533,315,129,2.52589755730178
41855,41855,338443.875535156,6532405.8492533,338473.875535156,6532375.8492533,316,129,0.686648337822588
41856,41856,338443.875535156,6532375.8492533,338473.875535156,6532345.8492533,317,129,0.989224350268395
41857,41857,338443.875535156,6532345.8492533,338473.875535156,6532315.8492533,318,129,4.3201385841503
41858,41858,338443.875535156,6532315.8492533,338473.875535156,6532285.8492533,319,129,2.38960657441938
42117,42117,338473.875535156,6534205.8492533,338503.875535156,6534175.8492533,256,130,3.42505210970522
42118,42118,338473.875535156,6534175.8492533,338503.875535156,6534145.8492533,257,130,4.48503569554785
42119,42119,338473.875535156,6534145.8492533,338503.875535156,6534115.8492533,258,130,4.43684773495445
42120,42120,338473.875535156,6534115.8492533,338503.875535156,6534085.8492533,259,130,3.91051984472453
42121,42121,338473.875535156,6534085.8492533,338503.875535156,6534055.8492533,260,130,1.85253243344363
42122,42122,338473.875535156,6534055.8492533,338503.875535156,6534025.8492533,261,130,2.12543903356948
42123,42123,338473.875535156,6534025.8492533,338503.875535156,6533995.8492533,262,130,1.83148262762442
42124,42124,338473.875535156,6533995.8492533,338503.875535156,6533965.8492533,263,130,2.52724526705149
42125,42125,338473.875535156,6533965.8492533,338503.875535156,6533935.8492533,264,130,1.45852827790283
42126,42126,338473.875535156,6533935.8492533,338503.875535156,6533905.8492533,265,130,3.1473798965968
42127,42127,338473.875535156,6533905.8492533,338503.875535156,6533875.8492533,266,130,1.09712158944261
42128,42128,338473.875535156,6533875.8492533,338503.875535156,6533845.8492533,267,130,0.697721712700447
42129,42129,338473.875535156,6533845.8492533,338503.875535156,6533815.8492533,268,130,1.93082225485238
42130,42130,338473.875535156,6533815.8492533,338503.875535156,6533785.8492533,269,130,2.36405422592509
42131,42131,338473.875535156,6533785.8492533,338503.875535156,6533755.8492533,270,130,3.30408138950376
42132,42132,338473.875535156,6533755.8492533,338503.875535156,6533725.8492533,271,130,3.66139682639199
42133,42133,338473.875535156,6533725.8492533,338503.875535156,6533695.8492533,272,130,2.71458232039533
41795,41795,338443.875535156,6534205.8492533,338473.875535156,6534175.8492533,256,129,3.52029660124528
41796,41796,338443.875535156,6534175.8492533,338473.875535156,6534145.8492533,257,129,4.15989079204032
41797,41797,338443.875535156,6534145.8492533,338473.875535156,6534115.8492533,258,129,3.81736210589467
41798,41798,338443.875535156,6534115.8492533,338473.875535156,6534085.8492533,259,129,4.51677636289558
41799,41799,338443.875535156,6534085.8492533,338473.875535156,6534055.8492533,260,129,2.23343939381249
