id,left,top,right,bottom,CNN_20m_0mean
"121714",16174904.9785,-3675544.1298,16174924.9785,-3675564.1298,2.99037737250328
"121715",16174904.9785,-3675564.1298,16174924.9785,-3675584.1298,2.52957636207342
"121716",16174904.9785,-3675584.1298,16174924.9785,-3675604.1298,3.06134709477425
"121717",16174904.9785,-3675604.1298,16174924.9785,-3675624.1298,2.94927822141086
"121718",16174904.9785,-3675624.1298,16174924.9785,-3675644.1298,1.85556438565254
"121719",16174904.9785,-3675644.1298,16174924.9785,-3675664.1298,0.532731112639109
"121720",16174904.9785,-3675664.1298,16174924.9785,-3675684.1298,0.370351001620293
"121722",16174904.9785,-3675704.1298,16174924.9785,-3675724.1298,1.40368318557739
"121723",16174904.9785,-3675724.1298,16174924.9785,-3675744.1298,1.07099658792669
"121724",16174904.9785,-3675744.1298,16174924.9785,-3675764.1298,0.743424910306931
"121725",16174904.9785,-3675764.1298,16174924.9785,-3675784.1298,1.11162615418434
"121726",16174904.9785,-3675784.1298,16174924.9785,-3675804.1298,2.7434210037363
"121727",16174904.9785,-3675804.1298,16174924.9785,-3675824.1298,4.65101518360436
"121728",16174904.9785,-3675824.1298,16174924.9785,-3675844.1298,3.31668916081947
"121729",16174904.9785,-3675844.1298,16174924.9785,-3675864.1298,4.04604305377623
"121730",16174904.9785,-3675864.1298,16174924.9785,-3675884.1298,2.41573067009449
"122185",16174924.9785,-3673744.1298,16174944.9785,-3673764.1298,0.956484500386498
"122186",16174924.9785,-3673764.1298,16174944.9785,-3673784.1298,0.68159890666604
"122187",16174924.9785,-3673784.1298,16174944.9785,-3673804.1298,0.769348613023758
"122188",16174924.9785,-3673804.1298,16174944.9785,-3673824.1298,1.88242435753345
"122189",16174924.9785,-3673824.1298,16174944.9785,-3673844.1298,1.8092477157712
"122190",16174924.9785,-3673844.1298,16174944.9785,-3673864.1298,2.43442658394575
"122191",16174924.9785,-3673864.1298,16174944.9785,-3673884.1298,2.6405786383152
"122192",16174924.9785,-3673884.1298,16174944.9785,-3673904.1298,1.84010581195354
"122193",16174924.9785,-3673904.1298,16174944.9785,-3673924.1298,1.10454426407814
"122194",16174924.9785,-3673924.1298,16174944.9785,-3673944.1298,0.743432728536427
