id,left,top,right,bottom,ALS_20m_0mean
"116017",16174704.9785,-3673804.1298,16174724.9785,-3673824.1298,0.660577258358051
"116018",16174704.9785,-3673824.1298,16174724.9785,-3673844.1298,0.402116065838448
"116019",16174704.9785,-3673844.1298,16174724.9785,-3673864.1298,0.686606451869011
"116020",16174704.9785,-3673864.1298,16174724.9785,-3673884.1298,4.04378844911046
"116021",16174704.9785,-3673884.1298,16174724.9785,-3673904.1298,7.30472333131436
"116022",16174704.9785,-3673904.1298,16174724.9785,-3673924.1298,4.42870622213324
"116023",16174704.9785,-3673924.1298,16174724.9785,-3673944.1298,2.56367279628692
"116024",16174704.9785,-3673944.1298,16174724.9785,-3673964.1298,2.78526723900468
"116025",16174704.9785,-3673964.1298,16174724.9785,-3673984.1298,4.58855946135317
"116026",16174704.9785,-3673984.1298,16174724.9785,-3674004.1298,5.28103927530632
"116027",16174704.9785,-3674004.1298,16174724.9785,-3674024.1298,1.51722631138614
"116028",16174704.9785,-3674024.1298,16174724.9785,-3674044.1298,0.349690760972436
"116029",16174704.9785,-3674044.1298,16174724.9785,-3674064.1298,0.0989200205018726
"116030",16174704.9785,-3674064.1298,16174724.9785,-3674084.1298,0.120965602505824
"116031",16174704.9785,-3674084.1298,16174724.9785,-3674104.1298,0.0946373071352624
"116032",16174704.9785,-3674104.1298,16174724.9785,-3674124.1298,0.188873980786917
"116033",16174704.9785,-3674124.1298,16174724.9785,-3674144.1298,0.385424703128179
"116034",16174704.9785,-3674144.1298,16174724.9785,-3674164.1298,0.500619164141333
"116035",16174704.9785,-3674164.1298,16174724.9785,-3674184.1298,0.391681124185326
"116036",16174704.9785,-3674184.1298,16174724.9785,-3674204.1298,0.778363484943351
"116037",16174704.9785,-3674204.1298,16174724.9785,-3674224.1298,1.47086416739035
"116038",16174704.9785,-3674224.1298,16174724.9785,-3674244.1298,2.00443622495374
"116039",16174704.9785,-3674244.1298,16174724.9785,-3674264.1298,2.61002832025626
"116040",16174704.9785,-3674264.1298,16174724.9785,-3674284.1298,1.47583445501777
"116041",16174704.9785,-3674284.1298,16174724.9785,-3674304.1298,1.26350932574573
"116042",16174704.9785,-3674304.1298,16174724.9785,-3674324.1298,1.53898841473791
"116043",16174704.9785,-3674324.1298,16174724.9785,-3674344.1298,0.965963016655365
"116044",16174704.9785,-3674344.1298,16174724.9785,-3674364.1298,1.33040417493712
"116045",16174704.9785,-3674364.1298,16174724.9785,-3674384.1298,1.67513663719355
"116046",16174704.9785,-3674384.1298,16174724.9785,-3674404.1298,1.45763326434372
"116047",16174704.9785,-3674404.1298,16174724.9785,-3674424.1298,1.67375228819506
"116048",16174704.9785,-3674424.1298,16174724.9785,-3674444.1298,1.53692257608278
"116049",16174704.9785,-3674444.1298,16174724.9785,-3674464.1298,1.59432106759616
"116050",16174704.9785,-3674464.1298,16174724.9785,-3674484.1298,1.69243034577266
"116051",16174704.9785,-3674484.1298,16174724.9785,-3674504.1298,1.89614708988882
"116071",16174704.9785,-3674884.1298,16174724.9785,-3674904.1298,2.68910326320884
"116072",16174704.9785,-3674904.1298,16174724.9785,-3674924.1298,2.85046153629527
"116073",16174704.9785,-3674924.1298,16174724.9785,-3674944.1298,2.98457635939121
