fid,id,left,top,right,bottom,row_index,col_index,ALS_30m_51mean
"69191","69191",340993.875535156,6533425.8492533,341023.875535156,6533395.8492533,"282","214",1.35423195769389
"69192","69192",340993.875535156,6533395.8492533,341023.875535156,6533365.8492533,"283","214",2.18615014458696
"69193","69193",340993.875535156,6533365.8492533,341023.875535156,6533335.8492533,"284","214",1.13634502336383
"69194","69194",340993.875535156,6533335.8492533,341023.875535156,6533305.8492533,"285","214",0.419416590382655
"69195","69195",340993.875535156,6533305.8492533,341023.875535156,6533275.8492533,"286","214",0.672946422737506
"69196","69196",340993.875535156,6533275.8492533,341023.875535156,6533245.8492533,"287","214",0.429695341223132
"69197","69197",340993.875535156,6533245.8492533,341023.875535156,6533215.8492533,"288","214",0.868358407592539
"69198","69198",340993.875535156,6533215.8492533,341023.875535156,6533185.8492533,"289","214",0.732627064887936
"69494","69494",341023.875535156,6533995.8492533,341053.875535156,6533965.8492533,"263","215",0.552778894599698
"69495","69495",341023.875535156,6533965.8492533,341053.875535156,6533935.8492533,"264","215",1.11104736487071
"69496","69496",341023.875535156,6533935.8492533,341053.875535156,6533905.8492533,"265","215",1.01051471120781
"69497","69497",341023.875535156,6533905.8492533,341053.875535156,6533875.8492533,"266","215",1.00135716511144
"69498","69498",341023.875535156,6533875.8492533,341053.875535156,6533845.8492533,"267","215",0.851344768868552
"69499","69499",341023.875535156,6533845.8492533,341053.875535156,6533815.8492533,"268","215",0.686296698707673
"69500","69500",341023.875535156,6533815.8492533,341053.875535156,6533785.8492533,"269","215",0.703795990678999
"69501","69501",341023.875535156,6533785.8492533,341053.875535156,6533755.8492533,"270","215",0.833454485105144
"69502","69502",341023.875535156,6533755.8492533,341053.875535156,6533725.8492533,"271","215",0.647594182060825
"69503","69503",341023.875535156,6533725.8492533,341053.875535156,6533695.8492533,"272","215",0.5474691999952
"69504","69504",341023.875535156,6533695.8492533,341053.875535156,6533665.8492533,"273","215",0.836177155127128
"69505","69505",341023.875535156,6533665.8492533,341053.875535156,6533635.8492533,"274","215",0.858572381817632
"69506","69506",341023.875535156,6533635.8492533,341053.875535156,6533605.8492533,"275","215",0.956634817752573
"69507","69507",341023.875535156,6533605.8492533,341053.875535156,6533575.8492533,"276","215",0.837339117030303
"69508","69508",341023.875535156,6533575.8492533,341053.875535156,6533545.8492533,"277","215",0.802226075563166
"69509","69509",341023.875535156,6533545.8492533,341053.875535156,6533515.8492533,"278","215",0.74933050584462
"69510","69510",341023.875535156,6533515.8492533,341053.875535156,6533485.8492533,"279","215",1.11863860833976
