fid,ID,Volume..L.,DBH..cm.,vol_opt_mean,Volume.Standard.Deviation..L.,dbhqsm_mean..cm.,DBH.Standard.Deviation..cm.,Number.of.Models,Height..m.,Surface.Area..m.2.,PatchDiam1,PatchDiam2Min,PatchDiam2Max,Processing.Time,X,Y,Z,Lat,Long,Elevation,plot_id,tree_id
4716,AM2_Mt_Grenfell_NP_6.0807,78.0197601,9.1334939,75.56,"7.94",9,"1",4,4.81665039,false,false,false,false,false,8.07769775390625,-48.764820098877,321.551696777344,-31.3108869677839,145.318190392962,321.551889044233,AM2_Mt_Grenfell_NP_6,807
4717,AM2_Mt_Grenfell_NP_6.0023,77.9915771,10.6400445,76.1,"3.77",9,"1",4,5.44100952,false,false,false,false,false,10.6761255264282,-26.1703395843506,321.180267333984,-31.3106831943982,145.318217687763,321.180330162868,AM2_Mt_Grenfell_NP_6,23
4718,AM2_Mt_Grenfell_NP_6.0786,77.6949005,8.7084651,77.53,"1.49",9,"1",4,4.13586426,false,false,false,false,false,-21.9186058044434,13.5417413711548,319.019226074219,-31.3103250418741,145.317875299789,319.019278131425,AM2_Mt_Grenfell_NP_6,786
4719,AM2_Mt_Grenfell_NP_6.1231,77.398819,10.7420683,78.99,"4.18",10,"1",4,5.26675415,false,false,false,false,false,36.3214797973633,-3.83078789710999,322.743194580078,-31.3104817196079,145.318487076444,322.743299057707,AM2_Mt_Grenfell_NP_6,1231
4720,AM2_Mt_Grenfell_NP_6.0609,76.6769409,9.92261469,77.61,"1.55",9,"0",4,5.48553467,false,false,false,false,false,20.3318061828613,20.469367980957,321.454254150391,-31.3102625635932,145.318319114135,321.454319502227,AM2_Mt_Grenfell_NP_6,609
4721,AM2_Mt_Grenfell_NP_6.0726,76.6387253,7.02893734,75.18,"2.79",7,"0",4,4.8637085,false,false,false,false,false,-9.63366603851318,-19.0987682342529,320.278503417969,-31.310619417878,145.318004345224,320.27853939496,AM2_Mt_Grenfell_NP_6,726
4722,AM2_Mt_Grenfell_NP_6.0928,75.5515213,7.28804246,78.24,"4.73",7,"0",4,4.91946411,false,false,false,false,false,31.5298557281494,-11.1317768096924,322.45556640625,-31.3105475653448,145.318436743575,322.455654017627,AM2_Mt_Grenfell_NP_6,928
4723,AM2_Mt_Grenfell_NP_6.0581,74.9101334,9.82898846,76.47,"3.84",10,"0",4,4.3336792,false,false,false,false,false,-0.156764268875122,-19.378547668457,320.673278808594,-31.3106219411611,145.318103894533,320.673308365047,AM2_Mt_Grenfell_NP_6,581
4724,AM2_Mt_Grenfell_NP_6.2024,74.8555145,10.0138985,74.37,"1.85",11,"3",4,3.77145386,false,false,false,false,false,-1.96889173984528,36.7380218505859,320.462890625,-31.3101158412061,145.318084859305,320.46299715247,AM2_Mt_Grenfell_NP_6,2024
4725,AM2_Mt_Grenfell_NP_6.0265,74.1642838,9.1235891,75.14,"3.19",9,"0",4,4.59552002,false,false,false,false,false,-24.708963394165,-38.7010040283203,319.189147949219,-31.310796204903,145.317845987515,319.189313643612,AM2_Mt_Grenfell_NP_6,265
4726,AM2_Mt_Grenfell_NP_6.1631,73.6076889,5.5344183,72.46,"1.44",8,"2",4,4.75888062,false,false,false,false,false,21.7293167114258,-23.444486618042,321.988494873047,-31.3106586105006,145.318333795043,321.988575110212,AM2_Mt_Grenfell_NP_6,1631
4727,AM2_Mt_Grenfell_NP_6.1082,73.5655365,10.2111384,76.02,"4.19",12,"2",4,4.25473022,false,false,false,false,false,0.969463884830475,49.3562698364258,320.622741699219,-31.3100020406931,145.318115724834,320.622933496721,AM2_Mt_Grenfell_NP_6,1082
4728,AM2_Mt_Grenfell_NP_6.0621,73.3510208,8.28540251,75.22,"4.4",8,"1",4,4.809021,false,false,false,false,false,31.8257598876953,30.3577156066895,322.134307861328,-31.3101733830799,145.318439850567,322.134459719993,AM2_Mt_Grenfell_NP_6,621
4729,AM2_Mt_Grenfell_NP_6.1025,73.1972885,6.11456446,82.2,"13.69",9,"4",4,5.06201172,false,false,false,false,false,50.1330070495605,-12.3741264343262,323.823394775391,-31.310558769075,145.318632158531,323.823603664525,AM2_Mt_Grenfell_NP_6,1025
4730,AM2_Mt_Grenfell_NP_6.1587,73.1961212,8.49439949,72.93,"2.22",9,"0",4,5.55291748,false,false,false,false,false,-21.4855842590332,-28.7473831176758,319.463836669922,-31.3107064359644,145.31787984752,319.463937863708,AM2_Mt_Grenfell_NP_6,1587
4731,AM2_Mt_Grenfell_NP_6.1313,72.9834595,7.15533718,72.86,"2.13",7,"0",4,3.60375977,false,false,false,false,false,-7.92579221725464,12.1076011657715,320.062561035156,-31.3103379761918,145.318022285684,320.062577492557,AM2_Mt_Grenfell_NP_6,1313
4732,AM2_Mt_Grenfell_NP_6.0260,72.6366653,7.37125576,72.82,"0.57",8,"0",4,4.44204712,false,false,false,false,false,-14.7010068893433,-50.1684532165527,320.077758789062,-31.3108996268032,145.317951115311,320.077973800711,AM2_Mt_Grenfell_NP_6,260
4733,AM2_Mt_Grenfell_NP_6.0258,71.7854385,9.12699103,71.07,"2.9",9,"0",4,4.59613037,false,false,false,false,false,-10.5279388427734,-23.2981510162354,320.301361083984,-31.3106572909513,145.317994951367,320.301412484609,AM2_Mt_Grenfell_NP_6,258
4734,AM2_Mt_Grenfell_NP_6.1465,71.2529373,10.5828665,55.37,"29.42",9,"5",4,5.11468506,false,false,false,false,false,0.745782554149628,-31.4205093383789,320.968322753906,-31.3107305442905,145.318113375268,320.968400497921,AM2_Mt_Grenfell_NP_6,1465
4735,AM2_Mt_Grenfell_NP_6.0405,71.2144928,6.7399174,70.17,"1.36",6,"1",4,4.77972412,false,false,false,false,false,-35.1156425476074,-35.7125053405762,318.257171630859,-31.3107692522285,145.317736671267,318.25736858137,AM2_Mt_Grenfell_NP_6,405
4736,AM2_Mt_Grenfell_NP_6.1509,70.9767914,7.9725489,70.26,"2.06",8,"1",4,4.53448486,false,false,false,false,false,8.76417350769043,-17.8094348907471,321.312286376953,-31.3106077897149,145.318197603739,321.312317355536,AM2_Mt_Grenfell_NP_6,1509
4737,AM2_Mt_Grenfell_NP_6.0036,70.9584808,8.89955238,71.94,"2.18",10,"2",4,5.9588623,false,false,false,false,false,11.0536527633667,-55.5435676574707,321.725006103516,-31.3109481033962,145.318221653783,321.725258478895,AM2_Mt_Grenfell_NP_6,36
4738,AM2_Mt_Grenfell_NP_6.0617,70.3179016,6.53079599,71.53,"4.65",7,"1",4,4.08029175,false,false,false,false,false,64.4658126831055,-7.73148918151855,324.719818115234,-31.3105168977099,145.318782715695,324.720148297027,AM2_Mt_Grenfell_NP_6,617
4739,AM2_Mt_Grenfell_NP_6.1277,70.0082855,8.04797262,55.53,"20.84",5,"3",4,3.45968628,false,false,false,false,false,-8.44953918457031,23.2947521209717,319.995178222656,-31.3102370823302,145.318016784138,319.995226521976,AM2_Mt_Grenfell_NP_6,1277
4740,AM2_Mt_Grenfell_NP_6.0556,69.3488922,10.4545422,64.6,"9.6",10,"4",4,4.68630981,false,false,false,false,false,-28.9087352752686,-10.2067203521729,318.572662353516,-31.3105392226413,145.317801872074,318.572736003436,AM2_Mt_Grenfell_NP_6,556
4741,AM2_Mt_Grenfell_NP_6.1329,69.3204575,9.60379541,68.82,"1.29",8,"1",4,4.75427246,false,false,false,false,false,49.7970924377441,-0.731384098529816,323.849334716797,-31.3104537664453,145.318628629366,323.849528967403,AM2_Mt_Grenfell_NP_6,1329
4742,AM2_Mt_Grenfell_NP_6.1468,69.0742035,6.99417293,71.87,"5.71",7,"0",4,4.17614746,false,false,false,false,false,-44.6879501342773,25.9383850097656,316.991424560547,-31.3102132391896,145.317636122249,316.991633914411,AM2_Mt_Grenfell_NP_6,1468
