fid,ID,Volume..L.,DBH..cm.,vol_opt_mean,Volume.Standard.Deviation..L.,dbhqsm_mean..cm.,DBH.Standard.Deviation..cm.,Number.of.Models,Height..m.,Surface.Area..m.2.,PatchDiam1,PatchDiam2Min,PatchDiam2Max,Processing.Time,X,Y,Z,Lat,Long,Elevation,plot_id,tree_id
1439,AM1_MT_Grenfell_5.0101,28.1341419,9.19195488,28.74,"1.15",10,"1",4,3.51470947,false,false,false,false,false,1.98986482620239,47.2266807556152,258.558166503906,-31.3010959267778,145.300474160256,258.558342349716,AM1_MT_Grenfell_5,101
1440,AM1_MT_Grenfell_5.1306,28.0609589,6.70540333,27.97,"0.47",6,"1",4,3.53762817,false,false,false,false,false,-1.95334315299988,-39.6593284606934,258.056213378906,-31.3018795366285,145.300432742757,258.056337466463,AM1_MT_Grenfell_5,1306
1441,AM1_MT_Grenfell_5.0517,28.0085049,5.00374809,27.48,"1.43",8,"4",4,2.86480713,false,false,false,false,false,-36.5337409973145,20.7232990264893,259.069549560547,-31.3013349556268,145.300069528167,259.069687892683,AM1_MT_Grenfell_5,517
1442,AM1_MT_Grenfell_5.1208,27.6141434,10.2841303,27.45,"0.99",10,"0",4,2.73300171,false,false,false,false,false,-39.8011283874512,-23.513240814209,258.893463134766,-31.3017339171581,145.300035207437,258.893630713224,AM1_MT_Grenfell_5,1208
1443,AM1_MT_Grenfell_5.0666,27.4631023,8.00029337,27.59,"2.51",10,"2",4,4.48034668,false,false,false,false,false,-42.6719741821289,-6.66861915588379,258.780975341797,-31.3015819983533,145.300005054133,258.781121449545,AM1_MT_Grenfell_5,666
1444,AM1_MT_Grenfell_5.0320,27.4310722,17.290242,26.69,"1.8",17,"1",4,1.61209106,false,false,false,false,false,-20.2259063720703,-49.3725776672363,258.509460449219,-31.3019671385308,145.300240815836,258.509684340097,AM1_MT_Grenfell_5,320
1445,AM1_MT_Grenfell_5.0923,27.2755909,8.74007866,31.02,"4.85",8,"1",4,3.45346069,false,false,false,false,false,-41.5037040710449,-15.2846345901489,259.069366455078,-31.3016597047312,145.300017324736,259.06951974798,AM1_MT_Grenfell_5,923
1446,AM1_MT_Grenfell_5.1072,27.1984234,7.98411518,26.9,"0.63",8,"0",4,4.62594604,false,false,false,false,false,-38.0679206848145,17.4102821350098,259.081604003906,-31.3013648351,145.300053413807,259.08174135536,AM1_MT_Grenfell_5,1072
1447,AM1_MT_Grenfell_5.1502,27.1157722,9.83230621,27.6,"2.82",10,"1",4,3.44091797,false,false,false,false,false,-16.1819896697998,12.584267616272,258.541320800781,-31.3014083605839,145.300283292348,258.541353771463,AM1_MT_Grenfell_5,1502
1448,AM1_MT_Grenfell_5.0992,26.9636421,6.94450438,27.02,"1.58",8,"1",4,5.96279907,false,false,false,false,false,-26.3627033233643,-10.2987432479858,258.512115478516,-31.3016147382976,145.300176358672,258.512178255245,AM1_MT_Grenfell_5,992
1449,AM1_MT_Grenfell_5.1153,26.6136875,2.96769235,26.03,"1.52",8,"4",4,3.64102173,false,false,false,false,false,-43.4969787597656,1.63435184955597,258.964050292969,-31.3015071152734,145.299996389061,258.964198678732,AM1_MT_Grenfell_5,1153
1450,AM1_MT_Grenfell_5.0717,26.2420788,11.5005478,27.94,"3",11,"1",4,1.29840088,false,false,false,false,false,-17.8618564605713,-42.6448097229004,258.234680175781,-31.3019064620196,145.300265646881,258.234848291613,AM1_MT_Grenfell_5,717
1451,AM1_MT_Grenfell_5.0294,25.6579609,3.8866505,41.52,"32.41",6,"5",4,5.61361694,false,false,false,false,false,-49.1195259094238,24.3895568847656,259.210357666016,-31.3013018898278,145.299937333747,259.210593443364,AM1_MT_Grenfell_5,294
1452,AM1_MT_Grenfell_5.0934,25.5070972,7.36496896,24.52,"3.45",7,"1",4,3.42892456,false,false,false,false,false,-7.86749410629272,-0.643503963947296,258.273773193359,-31.3015276596445,145.3003706235,258.273778071627,AM1_MT_Grenfell_5,934
1453,AM1_MT_Grenfell_5.0348,24.9980545,8.9181073,24.57,"1.46",9,"2",4,3.80575562,false,false,false,false,false,-44.8505554199219,-29.9016513824463,258.893585205078,-31.3017915329341,145.299982170342,258.893813117407,AM1_MT_Grenfell_5,348
1454,AM1_MT_Grenfell_5.1255,24.7188549,5.20513952,24.68,"0.51",8,"2",4,3.70901489,false,false,false,false,false,-5.3154993057251,1.40806782245636,258.378173828125,-31.3015091568889,145.300397428411,258.378176195547,AM1_MT_Grenfell_5,1255
1455,AM1_MT_Grenfell_5.0402,24.7006569,8.72607827,24.89,"1.07",9,"1",4,3.48638916,false,false,false,false,false,-32.4708251953125,23.1425132751465,258.872711181641,-31.3013131372689,145.300112203013,258.872835908085,AM1_MT_Grenfell_5,402
1456,AM1_MT_Grenfell_5.0984,24.6513977,3.51475403,22.1,"3",3,"0",4,5.67678833,false,false,false,false,false,2.2972514629364,29.3245067596436,258.489440917969,-31.3012573833793,145.30047738892,258.489509009756,AM1_MT_Grenfell_5,984
1457,AM1_MT_Grenfell_5.0901,24.6446762,6.69222847,24.42,"3.05",7,"1",4,5.43893433,false,false,false,false,false,-23.8095474243164,17.0643062591553,258.784820556641,-31.3013679557678,145.300203176453,258.784887871705,AM1_MT_Grenfell_5,901
1458,AM1_MT_Grenfell_5.0345,24.5615864,9.59868431,20.6,"8.47",8,"3",4,2.506073,false,false,false,false,false,-32.7136077880859,20.8509731292725,258.808471679688,-31.3013338042622,145.300109652871,258.808589710854,AM1_MT_Grenfell_5,345
1459,AM1_MT_Grenfell_5.1108,24.4447708,6.76808283,26.3,"2.84",7,"0",4,3.55041504,false,false,false,false,false,-18.1542148590088,40.5200500488281,258.903381347656,-31.3011564125984,145.30026257761,258.903536379337,AM1_MT_Grenfell_5,1108
1460,AM1_MT_Grenfell_5.0285,24.3777924,8.04896653,25.35,"1.28",9,"1",4,3.72653198,false,false,false,false,false,-8.83993625640869,28.3162498474121,258.450347900391,-31.3012664766408,145.300360409705,258.450417124666,AM1_MT_Grenfell_5,285
1461,AM1_MT_Grenfell_5.0295,23.8923855,3.74715701,23.97,"10.44",4,"1",4,4.65673828,false,false,false,false,false,-31.6480617523193,42.8818969726562,258.970550537109,-31.3011351112268,145.300120845525,258.970773705281,AM1_MT_Grenfell_5,295
1462,AM1_MT_Grenfell_5.0525,23.8294296,9.10656229,23.92,"1.1",9,"0",4,4.14993286,false,false,false,false,false,30.9256000518799,-45.1090278625488,257.464324951172,-31.3019286861501,145.300778088504,257.46456000302,AM1_MT_Grenfell_5,525
1463,AM1_MT_Grenfell_5.1302,23.7124882,8.11919123,24.07,"0.59",8,"0",4,4.92190552,false,false,false,false,false,-18.5723285675049,39.7988548278809,258.787841796875,-31.3011629169197,145.30025818595,258.78799347207,AM1_MT_Grenfell_5,1302
1464,AM1_MT_Grenfell_5.0804,23.652998,10.2416344,24.69,"3.13",9,"4",4,3.99578857,false,false,false,false,false,-8.50061416625977,30.211051940918,258.831207275391,-31.3012493877678,145.300363973789,258.831284767017,AM1_MT_Grenfell_5,804
1465,AM1_MT_Grenfell_5.1885,23.6445942,2.27302667,26.67,"7.18",7,"4",4,2.99682617,false,false,false,false,false,45.0932731628418,46.4426918029785,257.989807128906,-31.3011029965293,145.300926895257,257.990136140026,AM1_MT_Grenfell_5,1885
1466,AM1_MT_Grenfell_5.0836,23.5596066,10.1710171,23.73,"0.34",10,"1",4,2.63476562,false,false,false,false,false,-43.0060501098633,-32.0886421203613,258.694915771484,-31.3018112571003,145.300001544062,258.695141661912,AM1_MT_Grenfell_5,836
1467,AM1_MT_Grenfell_5.0416,23.4122658,7.30113834,24.88,"2.09",7,"1",4,4.50125122,false,false,false,false,false,-13.7392492294312,48.0885772705078,258.850524902344,-31.301088153423,145.300308950155,258.85072168801,AM1_MT_Grenfell_5,416
1468,AM1_MT_Grenfell_5.1200,23.397028,9.72836539,23.1,"1.41",9,"1",4,5.21615601,false,false,false,false,false,-2.37190294265747,-29.4678993225098,258.348663330078,-31.3017876218844,145.30042834642,258.348732111976,AM1_MT_Grenfell_5,1200
1469,AM1_MT_Grenfell_5.0661,23.3416176,8.42570439,23.14,"1.04",8,"0",4,3.62789917,false,false,false,false,false,-22.6921634674072,-15.0257215499878,258.408325195312,-31.3016573701725,145.300214912141,258.408383292146,AM1_MT_Grenfell_5,661
1470,AM1_MT_Grenfell_5.0228,23.325695,6.41027018,23.63,"0.46",5,"1",4,6.23129272,false,false,false,false,false,-12.0998401641846,38.8578567504883,258.813171386719,-31.3011714037046,145.300326169507,258.813301689923,AM1_MT_Grenfell_5,228
1471,AM1_MT_Grenfell_5.0234,23.0095959,9.68602523,23.01,"0.26",10,"0",4,2.90890503,false,false,false,false,false,30.3403549194336,-47.4174842834473,257.316650390625,-31.301949505745,145.300771941428,257.316899443977,AM1_MT_Grenfell_5,234
1472,AM1_MT_Grenfell_5.0324,22.7339783,7.43587911,23.09,"0.56",7,"0",4,4.87249756,false,false,false,false,false,32.318431854248,-49.0234870910645,257.448120117188,-31.3019639899447,145.300792718316,257.448391067795,AM1_MT_Grenfell_5,324
1473,AM1_MT_Grenfell_5.1319,22.6811581,6.23992607,22.42,"1.47",7,"1",4,4.41238403,false,false,false,false,false,-17.2602119445801,15.7524433135986,258.698547363281,-31.3013797873452,145.300271967306,258.698590223677,AM1_MT_Grenfell_5,1319
1474,AM1_MT_Grenfell_5.1827,22.5464096,5.19182347,22.23,"2.98",6,"1",4,4.31988525,false,false,false,false,false,-0.338594734668732,-4.58792448043823,258.48583984375,-31.3015632337143,145.300449703356,258.485841507092,AM1_MT_Grenfell_5,1827
1475,AM1_MT_Grenfell_5.1089,22.473484,7.382714,22.1,"0.75",8,"0",4,5.58892822,false,false,false,false,false,-25.6695575714111,-8.88720417022705,258.475494384766,-31.301602007888,145.300183639176,258.475552204996,AM1_MT_Grenfell_5,1089
1476,AM1_MT_Grenfell_5.0896,22.4336739,8.17391723,23.45,"1.94",10,"2",4,2.80114746,false,false,false,false,false,-31.3025341033936,47.3027420043945,259.027526855469,-31.3010952404069,145.300124474903,259.027779698372,AM1_MT_Grenfell_5,896
1477,AM1_MT_Grenfell_5.1569,22.4140892,6.80510551,22.49,"1.89",6,"1",4,3.79632568,false,false,false,false,false,-29.3303833007812,-21.3238735198975,258.64404296875,-31.3017141719551,145.300145187277,258.644146129489,AM1_MT_Grenfell_5,1569
1478,AM1_MT_Grenfell_5.0754,22.2868938,5.26491739,21.2,"1.62",7,"1",4,5.15582275,false,false,false,false,false,-49.5777168273926,30.89794921875,259.221069335938,-31.3012431917532,145.299932521471,259.221336975694,AM1_MT_Grenfell_5,754
1479,AM1_MT_Grenfell_5.1035,22.111845,10.8882807,22.23,"2.27",11,"0",4,3.27374268,false,false,false,false,false,-21.3638286590576,24.8476886749268,258.745300292969,-31.3012977588409,145.3002288652,258.745384629816,AM1_MT_Grenfell_5,1035
1480,AM1_MT_Grenfell_5.0373,21.8989353,5.98490126,21.54,"1.08",7,"1",4,4.43121338,false,false,false,false,false,-15.9558744430542,18.5261039733887,258.724487304688,-31.3013547722009,145.300285667448,258.724534255452,AM1_MT_Grenfell_5,373
1481,AM1_MT_Grenfell_5.0100,21.6760063,8.49429592,21.9,"0.32",9,"0",4,3.87420654,false,false,false,false,false,-50.8186378479004,34.1418609619141,259.250671386719,-31.3012139354265,145.299919487655,259.25096538756,AM1_MT_Grenfell_5,100
1482,AM1_MT_Grenfell_5.0474,21.6322021,7.68795013,21.3,"0.57",8,"0",4,4.46768188,false,false,false,false,false,-17.9112949371338,18.2441596984863,258.600433349609,-31.3013573149757,145.300265128703,258.600484671071,AM1_MT_Grenfell_5,474
1483,AM1_MT_Grenfell_5.1158,21.6212559,10.4846716,21.94,"0.9",10,"0",4,3.23776245,false,false,false,false,false,-3.96572923660278,-39.1720008850098,258.166870117188,-31.3018751414944,145.300411605567,258.166992113926,AM1_MT_Grenfell_5,1158
1484,AM1_MT_Grenfell_5.1509,21.3785095,7.37550184,21.7,"0.86",9,"2",4,4.58972168,false,false,false,false,false,-11.6490526199341,34.5816650390625,258.769439697266,-31.3012099699374,145.300330904289,258.769544444978,AM1_MT_Grenfell_5,1509
1485,AM1_MT_Grenfell_5.1415,21.3346233,4.86133695,20.19,"2.09",6,"1",4,2.7036438,false,false,false,false,false,41.6144676208496,-9.522629737854,257.376159667969,-31.3016077382348,145.300890358128,257.3763024332,AM1_MT_Grenfell_5,1415
1486,AM1_MT_Grenfell_5.1513,21.2877655,8.73590857,21.11,"0.71",9,"0",4,5.80560303,false,false,false,false,false,-15.3880434036255,9.59699630737305,258.644226074219,-31.3014353022773,145.300291631515,258.644251867197,AM1_MT_Grenfell_5,1513
1487,AM1_MT_Grenfell_5.1369,21.271019,8.98182839,21.62,"0.85",7,"4",4,3.41583252,false,false,false,false,false,-34.2310981750488,26.275728225708,258.894561767578,-31.3012848792986,145.300093714123,258.894707875326,AM1_MT_Grenfell_5,1369
1488,AM1_MT_Grenfell_5.0993,21.2224102,4.62485328,21.11,"0.51",5,"1",4,4.3934021,false,false,false,false,false,-18.8472290039062,18.219331741333,258.606719970703,-31.3013575388801,145.30025529813,258.606773914769,AM1_MT_Grenfell_5,993
1489,AM1_MT_Grenfell_5.0440,21.0099411,9.66854692,19.17,"3.57",9,"1",4,4.69421387,false,false,false,false,false,-23.7442932128906,11.8584575653076,258.900238037109,-31.3014149064151,145.300203861731,258.90029325895,AM1_MT_Grenfell_5,440
1490,AM1_MT_Grenfell_5.1220,20.9425621,7.84604102,19.3,"2.01",10,"2",4,3.60217285,false,false,false,false,false,-31.1116981506348,-5.8816351890564,258.624450683594,-31.3015749010496,145.300126477665,258.624529212713,AM1_MT_Grenfell_5,1220
1491,AM1_MT_Grenfell_5.0945,20.9236336,9.99823362,20.78,"0.64",11,"1",4,3.49673462,false,false,false,false,false,-9.91927623748779,-41.6464767456055,258.148376464844,-31.3018974583279,145.300349072181,258.148520675488,AM1_MT_Grenfell_5,945
1492,AM1_MT_Grenfell_5.1693,20.7422638,10.7757688,20.88,"0.71",9,"2",4,3.77920532,false,false,false,false,false,-15.834508895874,15.2309865951538,258.723266601562,-31.3013844902935,145.300286942158,258.723304495215,AM1_MT_Grenfell_5,1693
1493,AM1_MT_Grenfell_5.0322,20.5801868,5.28061464,20.08,"2.4",6,"2",4,4.1020813,false,false,false,false,false,-9.27446460723877,9.80289649963379,258.304901123047,-31.3014334453593,145.300355845472,258.304915421642,AM1_MT_Grenfell_5,322
1494,AM1_MT_Grenfell_5.0703,20.4482594,13.5641485,20.15,"0.71",14,"0",4,1.39477539,false,false,false,false,false,-25.9743919372559,-36.6817817687988,258.380737304688,-31.3018526823466,145.300180436617,258.380896042101,AM1_MT_Grenfell_5,703
1495,AM1_MT_Grenfell_5.0263,20.2750301,7.13391304,20.26,"0.48",7,"1",4,3.66256714,false,false,false,false,false,-31.1144542694092,48.0592842102051,258.971252441406,-31.3010884172855,145.300126450413,258.971510043368,AM1_MT_Grenfell_5,263
1496,AM1_MT_Grenfell_5.0700,20.1275959,7.891462,20.27,"1.23",8,"0",4,5.02502441,false,false,false,false,false,-26.2257843017578,-6.45398664474487,258.523498535156,-31.301580063109,145.300177796905,258.523555678315,AM1_MT_Grenfell_5,700
1497,AM1_MT_Grenfell_5.0588,20.050251,6.21708706,20.81,"1.28",6,"0",4,1.78289795,false,false,false,false,false,-24.830976486206,-40.5958251953125,258.457702636719,-31.3018879824437,145.300192446437,258.457880631089,AM1_MT_Grenfell_5,588
1498,AM1_MT_Grenfell_5.0129,20.0178833,12.3043835,18.18,"2.74",10,"3",4,2.7088623,false,false,false,false,false,-49.6102256774902,-2.3768618106842,259.062316894531,-31.3015432914652,145.299932178351,259.062510093674,AM1_MT_Grenfell_5,129
1499,AM1_MT_Grenfell_5.0898,19.9955139,9.65707228,20.23,"1.14",10,"1",4,3.1100769,false,false,false,false,false,-9.78593254089356,-45.8667373657227,258.057373046875,-31.3019355201322,145.30035047272,258.057546120137,AM1_MT_Grenfell_5,898
1500,AM1_MT_Grenfell_5.0786,19.6936359,7.76357651,20.12,"1.04",7,"3",4,2.7928772,false,false,false,false,false,-31.9755611419678,47.609992980957,259.051300048828,-31.3010924693471,145.300117405802,259.051558522508,AM1_MT_Grenfell_5,786
1501,AM1_MT_Grenfell_5.1278,19.3793068,9.8154068,19.05,"1.43",9,"1",4,2.01495361,false,false,false,false,false,-34.1559257507324,25.2860527038574,258.94970703125,-31.3012938050142,145.300094503664,258.949848719873,AM1_MT_Grenfell_5,1278
1502,AM1_MT_Grenfell_5.0740,19.291935,9.96257812,19.02,"0.35",9,"1",4,2.94955444,false,false,false,false,false,-2.66111063957214,-36.1839179992676,258.08447265625,-31.3018481925018,145.300425308697,258.084576254711,AM1_MT_Grenfell_5,740
1503,AM1_MT_Grenfell_5.1241,19.2300739,8.15635249,20.16,"1.43",9,"0",4,3.74484253,false,false,false,false,false,-25.7477931976318,-10.2162752151489,258.699005126953,-31.3016139945438,145.300182817402,258.699065260589,AM1_MT_Grenfell_5,1241
1504,AM1_MT_Grenfell_5.0908,19.0735054,7.7060543,19.16,"1.04",7,"1",4,2.83331299,false,false,false,false,false,-17.2083892822266,33.8743324279785,258.835723876953,-31.3012163491817,145.30027251194,258.835837377235,AM1_MT_Grenfell_5,908
1505,AM1_MT_Grenfell_5.1102,18.8485355,6.37168959,19.02,"1.16",7,"2",4,5.14486694,false,false,false,false,false,0.611670672893524,-36.5182647705078,258.086730957031,-31.3018512079201,145.3004596845,258.086835943162,AM1_MT_Grenfell_5,1102
1506,AM1_MT_Grenfell_5.1399,18.6495667,9.13957581,17.99,"0.98",9,"0",4,3.77822876,false,false,false,false,false,-15.1191720962524,11.9829244613647,258.739562988281,-31.301413784011,145.300294455643,258.739592189901,AM1_MT_Grenfell_5,1399
1507,AM1_MT_Grenfell_5.0198,18.5114212,3.98788154,33.68,"20.01",6,"3",4,5.67770386,false,false,false,false,false,-2.78034591674805,-31.1680488586426,258.290130615234,-31.3018029552391,145.300424056319,258.290207675658,AM1_MT_Grenfell_5,198
1508,AM1_MT_Grenfell_5.0039,18.4982758,8.17936137,18.81,"0.67",9,"1",4,3.02227783,false,false,false,false,false,-44.0432395935059,-38.8141860961914,258.597900390625,-31.3018719135749,145.299990649599,258.598170883022,AM1_MT_Grenfell_5,39
1509,AM1_MT_Grenfell_5.1005,18.4459229,12.177746,18.57,"0.62",12,"0",4,3.37524414,false,false,false,false,false,-28.9514579772949,-4.60871887207031,258.813781738281,-31.3015634208932,145.300149167822,258.813849054277,AM1_MT_Grenfell_5,1005
1510,AM1_MT_Grenfell_5.0502,18.2928772,8.62852111,18.29,"0.14",8,"0",4,3.2996521,false,false,false,false,false,-33.1949882507324,23.8108310699463,258.921997070312,-31.3013071098082,145.300104596803,258.922127990052,AM1_MT_Grenfell_5,502
1511,AM1_MT_Grenfell_5.1326,18.2470417,7.21284598,17.71,"0.95",8,"1",4,2.61364746,false,false,false,false,false,-36.9972915649414,-18.3452072143555,258.782135009766,-31.3016873076604,145.300064657807,258.782268698327,AM1_MT_Grenfell_5,1326
1512,AM1_MT_Grenfell_5.1520,18.1939526,2.85501964,18.22,"0.19",8,"3",4,1.82507324,false,false,false,false,false,-4.98733329772949,-27.9943141937256,258.214416503906,-31.3017743318733,145.300400875157,258.214480130002,AM1_MT_Grenfell_5,1520
1513,AM1_MT_Grenfell_5.1054,18.172205,12.7839983,17.37,"3.58",13,"0",4,2.0335083,false,false,false,false,false,-43.2640342712402,33.983325958252,259.206115722656,-31.3012153655292,145.299998837212,259.20635320805,AM1_MT_Grenfell_5,1054
1514,AM1_MT_Grenfell_5.1134,17.9730377,12.0293885,17.7,"1.04",10,"3",4,3.00436401,false,false,false,false,false,-46.3990936279297,33.9774284362793,259.411376953125,-31.3012154186071,145.299965908218,259.411636422388,AM1_MT_Grenfell_5,1134
1515,AM1_MT_Grenfell_5.0205,17.9169884,6.62128478,17.63,"0.61",7,"1",4,1.72280884,false,false,false,false,false,-7.09671688079834,-48.8151741027832,257.971832275391,-31.3019621115965,145.30037871902,257.972023763694,AM1_MT_Grenfell_5,205
1516,AM1_MT_Grenfell_5.0722,17.9108028,8.2406871,17.16,"1.59",8,"0",4,1.99960327,false,false,false,false,false,-30.7458171844482,26.0198040008545,259.295776367188,-31.3012871875467,145.300130321716,259.295903684571,AM1_MT_Grenfell_5,722
1517,AM1_MT_Grenfell_5.0292,17.6938457,9.69426632,17.38,"6.73",8,"2",4,2.3269043,false,false,false,false,false,-38.5203552246094,37.1372680664062,259.078582763672,-31.3011869208348,145.300048662426,259.078807518817,AM1_MT_Grenfell_5,292
1518,AM1_MT_Grenfell_5.0775,17.632515,7.17756227,16.94,"1.43",7,"0",4,3.47625732,false,false,false,false,false,-43.4390487670898,-24.5461711883545,258.799102783203,-31.3017432328501,145.299996996379,258.799297986552,AM1_MT_Grenfell_5,775
1519,AM1_MT_Grenfell_5.1078,17.6186085,4.97390665,17.54,"0.95",5,"0",4,4.96139526,false,false,false,false,false,38.905029296875,-25.940279006958,257.346435546875,-31.3017558062792,145.300861900133,257.346607049927,AM1_MT_Grenfell_5,1078
1520,AM1_MT_Grenfell_5.1020,17.5996284,5.59875779,16.68,"1.54",6,"0",4,4.10443115,false,false,false,false,false,-7.94012355804443,28.6853122711182,258.552795410156,-31.3012631481414,145.300369860873,258.552865108475,AM1_MT_Grenfell_5,1020
1521,AM1_MT_Grenfell_5.0839,17.1880264,8.10916424,17.3,"0.6",6,"2",4,2.9211731,false,false,false,false,false,51.0749588012695,47.1766128540039,257.390686035156,-31.3010963771347,145.300989723675,257.391065507196,AM1_MT_Grenfell_5,839
1522,AM1_MT_Grenfell_5.0662,16.9958363,7.38207474,16.79,"0.51",7,"1",4,2.91430664,false,false,false,false,false,-8.78856372833252,27.9159202575684,258.359497070312,-31.3012700871408,145.30036094929,258.359564452432,AM1_MT_Grenfell_5,662
1523,AM1_MT_Grenfell_5.0986,16.7725792,6.38690144,17.11,"1.5",7,"1",4,2.22738647,false,false,false,false,false,19.544979095459,42.9995765686035,258.343170166016,-31.3011340501228,145.300658549785,258.343345604837,AM1_MT_Grenfell_5,986
1524,AM1_MT_Grenfell_5.0281,16.7164211,4.99002635,17.91,"4.29",5,"0",4,4.512146,false,false,false,false,false,-1.5190771818161,39.5718460083008,258.654083251953,-31.3011649644124,145.300437304212,258.654206676409,AM1_MT_Grenfell_5,281
1525,AM1_MT_Grenfell_5.0807,16.6045666,6.39159903,16.86,"1.3",6,"1",4,3.63314819,false,false,false,false,false,-2.70727038383484,-5.66869306564331,258.456298828125,-31.3015729809755,145.30042482394,258.45630193036,AM1_MT_Grenfell_5,807
1526,AM1_MT_Grenfell_5.1285,16.5514565,5.93164451,15.9,"1.43",6,"0",4,3.81359863,false,false,false,false,false,-25.8082046508789,-19.7675189971924,258.519287109375,-31.3017001355516,145.300182182615,258.519370025955,AM1_MT_Grenfell_5,1285
1527,AM1_MT_Grenfell_5.0400,16.4595451,8.61267075,16.74,"1.45",8,"0",4,2.89633179,false,false,false,false,false,-9.26977634429932,-34.2727317810059,258.268981933594,-31.3018309558022,145.300355894305,258.269081109203,AM1_MT_Grenfell_5,400
1528,AM1_MT_Grenfell_5.0508,15.9632549,6.65190592,16.56,"4.69",6,"1",4,4.81930542,false,false,false,false,false,-45.5048675537109,-3.66874122619629,258.868347167969,-31.3015549428689,145.299975298942,258.868510400876,AM1_MT_Grenfell_5,508
1529,AM1_MT_Grenfell_5.0537,15.9564581,9.6681565,15.4,"1.22",7,"2",4,2.56658936,false,false,false,false,false,0.31955936551094,46.0791130065918,258.6171875,-31.3011062764981,145.30045661627,258.617354617454,AM1_MT_Grenfell_5,537
1530,AM1_MT_Grenfell_5.1167,15.8851624,5.16237132,15.94,"0.8",7,"2",4,3.18359375,false,false,false,false,false,-18.6517086029053,-10.5898761749268,258.377716064453,-31.3016173641259,145.300257351231,258.377752135508,AM1_MT_Grenfell_5,1167
1531,AM1_MT_Grenfell_5.0698,15.8066473,8.8794142,15.91,"0.84",8,"1",4,2.54986572,false,false,false,false,false,-46.887523651123,35.0088539123535,259.184326171875,-31.3012061163299,145.299960778038,259.18459481094,AM1_MT_Grenfell_5,698
1532,AM1_MT_Grenfell_5.0858,15.6085424,8.40999186,15.71,"2.62",9,"0",4,3.00515747,false,false,false,false,false,-12.6680974960327,30.5201950073242,258.757934570312,-31.3012465996192,145.300320200728,258.75802044943,AM1_MT_Grenfell_5,858
1533,AM1_MT_Grenfell_5.0569,15.6059608,10.4558088,15.54,"2.55",11,"1",4,2.24310303,false,false,false,false,false,53.1281700134277,-30.4120006561279,257.286499023438,-31.3017961354061,145.301011293634,257.286792878062,AM1_MT_Grenfell_5,569
1534,AM1_MT_Grenfell_5.0316,15.5556736,7.94602782,15.33,"0.7",8,"0",4,2.74206543,false,false,false,false,false,31.5838108062744,-46.4828224182129,257.563598632812,-31.3019410761416,145.300785002095,257.563846808858,AM1_MT_Grenfell_5,316
1535,AM1_MT_Grenfell_5.1437,15.3574839,8.09525996,15.8,"0.78",8,"1",4,3.54397583,false,false,false,false,false,-0.326022952795029,-38.3716468811035,258.151977539062,-31.3018679232482,145.300449835393,258.152093428187,AM1_MT_Grenfell_5,1437
1536,AM1_MT_Grenfell_5.0682,15.3481646,3.75355259,15.26,"0.74",5,"1",4,3.97909546,false,false,false,false,false,-11.3819074630737,29.9064712524414,258.553375244141,-31.3012521346917,145.300333710184,258.55345578026,AM1_MT_Grenfell_5,682
1537,AM1_MT_Grenfell_5.1296,15.2333155,11.9181268,15.08,"0.87",10,"4",4,2.2008667,false,false,false,false,false,-16.0555019378662,-49.2859268188477,258.202239990234,-31.3019663571283,145.300284619909,258.202451358549,AM1_MT_Grenfell_5,1296
1538,AM1_MT_Grenfell_5.0957,15.2113581,5.3581737,14.65,"0.94",6,"1",4,2.234375,false,false,false,false,false,45.6922035217285,24.1548748016357,257.639770507812,-31.3013040064703,145.300933187144,257.639979938045,AM1_MT_Grenfell_5,957
1539,AM1_MT_Grenfell_5.0773,15.2081928,7.78728127,15.1,"0.63",8,"0",4,3.50643921,false,false,false,false,false,-14.6365756988525,34.1438102722168,258.711883544922,-31.301213918837,145.300299524916,258.711992074735,AM1_MT_Grenfell_5,773
1540,AM1_MT_Grenfell_5.0025,15.1766987,5.89400232,14.99,"0.87",7,"1",4,4.31445312,false,false,false,false,false,-14.3285150527954,30.4127006530762,258.846649169922,-31.3012475690767,145.300302760572,258.846738043241,AM1_MT_Grenfell_5,25
1541,AM1_MT_Grenfell_5.1287,15.1758652,6.32483885,14.69,"6.92",5,"1",4,3.47192383,false,false,false,false,false,-21.303991317749,11.6108179092407,258.514099121094,-31.3014171398749,145.30022949341,258.514145273715,AM1_MT_Grenfell_5,1287
1542,AM1_MT_Grenfell_5.0967,15.1652708,3.45496237,15.17,"0.42",5,"1",4,5.91879272,false,false,false,false,false,-26.8479709625244,-8.61115741729736,258.491607666016,-31.3015995182435,145.3001712617,258.491669952869,AM1_MT_Grenfell_5,967
1543,AM1_MT_Grenfell_5.1201,15.0735044,13.1899282,13.82,"1.67",13,"0",4,1.48696899,false,false,false,false,false,-19.8909969329834,-4.35865020751953,258.714782714844,-31.3015611657582,145.300244334479,258.71481519565,AM1_MT_Grenfell_5,1201
1544,AM1_MT_Grenfell_5.0772,15.0427294,4.1773133,14.93,"0.88",5,"3",4,1.77835083,false,false,false,false,false,-25.63938331604,32.3758850097656,258.842529296875,-31.3012298632638,145.300183957185,258.842663276941,AM1_MT_Grenfell_5,772
1545,AM1_MT_Grenfell_5.0887,14.9321709,7.82680809,14.86,"0.86",8,"1",4,2.89498901,false,false,false,false,false,-14.6772651672363,-37.1972846984863,258.242950439453,-31.3018573317824,145.300299096476,258.243076207116,AM1_MT_Grenfell_5,887
