fid,id,left,top,right,bottom,ALS_20m_1mean
"117137","117137",16174744.9785,-3673764.1298,16174764.9785,-3673784.1298,0.724586001566274
"117138","117138",16174744.9785,-3673784.1298,16174764.9785,-3673804.1298,1.04475323182052
"117139","117139",16174744.9785,-3673804.1298,16174764.9785,-3673824.1298,1.1508587487682
"117140","117140",16174744.9785,-3673824.1298,16174764.9785,-3673844.1298,0.440728251476145
"117141","117141",16174744.9785,-3673844.1298,16174764.9785,-3673864.1298,0.121008949622217
"117142","117142",16174744.9785,-3673864.1298,16174764.9785,-3673884.1298,2.54252192444385
"117143","117143",16174744.9785,-3673884.1298,16174764.9785,-3673904.1298,7.0147749467629
"117144","117144",16174744.9785,-3673904.1298,16174764.9785,-3673924.1298,3.02273039054524
"117145","117145",16174744.9785,-3673924.1298,16174764.9785,-3673944.1298,0.947814742315909
"117146","117146",16174744.9785,-3673944.1298,16174764.9785,-3673964.1298,0.107240231825122
"117147","117147",16174744.9785,-3673964.1298,16174764.9785,-3673984.1298,0.172220047767612
"117775","117775",16174764.9785,-3675304.1298,16174784.9785,-3675324.1298,1.4189147858516
"117774","117774",16174764.9785,-3675284.1298,16174784.9785,-3675304.1298,1.04521025859318
"117773","117773",16174764.9785,-3675264.1298,16174784.9785,-3675284.1298,1.24486755656998
"117772","117772",16174764.9785,-3675244.1298,16174784.9785,-3675264.1298,2.61309086099446
"117766","117766",16174764.9785,-3675124.1298,16174784.9785,-3675144.1298,1.1736819404457
"117765","117765",16174764.9785,-3675104.1298,16174784.9785,-3675124.1298,2.27456199752409
"117764","117764",16174764.9785,-3675084.1298,16174784.9785,-3675104.1298,4.55982361626857
"117763","117763",16174764.9785,-3675064.1298,16174784.9785,-3675084.1298,5.03073389946468
"117762","117762",16174764.9785,-3675044.1298,16174784.9785,-3675064.1298,4.23795274098714
"117697","117697",16174764.9785,-3673744.1298,16174784.9785,-3673764.1298,0.181841854113169
"117698","117698",16174764.9785,-3673764.1298,16174784.9785,-3673784.1298,0.274008500764055
"117699","117699",16174764.9785,-3673784.1298,16174784.9785,-3673804.1298,0.475261542122146
"117700","117700",16174764.9785,-3673804.1298,16174784.9785,-3673824.1298,0.563319491918381
"117701","117701",16174764.9785,-3673824.1298,16174784.9785,-3673844.1298,0.507236632450014
"117702","117702",16174764.9785,-3673844.1298,16174784.9785,-3673864.1298,0.329002012219842
"117703","117703",16174764.9785,-3673864.1298,16174784.9785,-3673884.1298,0.895705666628658
"117704","117704",16174764.9785,-3673884.1298,16174784.9785,-3673904.1298,2.20236865335847
"117705","117705",16174764.9785,-3673904.1298,16174784.9785,-3673924.1298,0.699613078149794
"117706","117706",16174764.9785,-3673924.1298,16174784.9785,-3673944.1298,0.0418092397757395
"117707","117707",16174764.9785,-3673944.1298,16174784.9785,-3673964.1298,0.0967994039503652
"117708","117708",16174764.9785,-3673964.1298,16174784.9785,-3673984.1298,0.0641061214701291
"117741","117741",16174764.9785,-3674624.1298,16174784.9785,-3674644.1298,4.637310071425
"117740","117740",16174764.9785,-3674604.1298,16174784.9785,-3674624.1298,4.297813108039
"117739","117739",16174764.9785,-3674584.1298,16174784.9785,-3674604.1298,5.17388577470223
"117738","117738",16174764.9785,-3674564.1298,16174784.9785,-3674584.1298,3.61202019051567
"117737","117737",16174764.9785,-3674544.1298,16174784.9785,-3674564.1298,2.12561470407589
"117736","117736",16174764.9785,-3674524.1298,16174784.9785,-3674544.1298,2.2097729623472
"117735","117735",16174764.9785,-3674504.1298,16174784.9785,-3674524.1298,2.31517131191936
"117734","117734",16174764.9785,-3674484.1298,16174784.9785,-3674504.1298,3.55823595724565
"117733","117733",16174764.9785,-3674464.1298,16174784.9785,-3674484.1298,5.09641916250466
"117732","117732",16174764.9785,-3674444.1298,16174784.9785,-3674464.1298,4.20951092867381
"117731","117731",16174764.9785,-3674424.1298,16174784.9785,-3674444.1298,4.57012013238052
"117730","117730",16174764.9785,-3674404.1298,16174784.9785,-3674424.1298,4.17954740989698
"117729","117729",16174764.9785,-3674384.1298,16174784.9785,-3674404.1298,2.4475771743054
"117728","117728",16174764.9785,-3674364.1298,16174784.9785,-3674384.1298,2.51468770008397
"117727","117727",16174764.9785,-3674344.1298,16174784.9785,-3674364.1298,2.743452649628
"117726","117726",16174764.9785,-3674324.1298,16174784.9785,-3674344.1298,3.75625828313868
