id,left,top,right,bottom,row_index,col_index,CNN_30m_1mean
40149,338293.875535156,6535285.8492533,338323.875535156,6535255.8492533,220,124,2.2088097331232
40150,338293.875535156,6535255.8492533,338323.875535156,6535225.8492533,221,124,1.63244669883236
40151,338293.875535156,6535225.8492533,338323.875535156,6535195.8492533,222,124,3.54341039517459
40152,338293.875535156,6535195.8492533,338323.875535156,6535165.8492533,223,124,2.72608980098403
40153,338293.875535156,6535165.8492533,338323.875535156,6535135.8492533,224,124,1.51967926473034
40154,338293.875535156,6535135.8492533,338323.875535156,6535105.8492533,225,124,2.21278634172702
40155,338293.875535156,6535105.8492533,338323.875535156,6535075.8492533,226,124,1.79123723430142
40156,338293.875535156,6535075.8492533,338323.875535156,6535045.8492533,227,124,1.77200970640144
40157,338293.875535156,6535045.8492533,338323.875535156,6535015.8492533,228,124,2.41057651417596
40158,338293.875535156,6535015.8492533,338323.875535156,6534985.8492533,229,124,2.57487026802159
40159,338293.875535156,6534985.8492533,338323.875535156,6534955.8492533,230,124,3.22802281542345
40160,338293.875535156,6534955.8492533,338323.875535156,6534925.8492533,231,124,2.53705696550108
40161,338293.875535156,6534925.8492533,338323.875535156,6534895.8492533,232,124,1.9952961358113
40162,338293.875535156,6534895.8492533,338323.875535156,6534865.8492533,233,124,3.23280848089415
40163,338293.875535156,6534865.8492533,338323.875535156,6534835.8492533,234,124,3.43244482568482
40164,338293.875535156,6534835.8492533,338323.875535156,6534805.8492533,235,124,3.31432916861936
40165,338293.875535156,6534805.8492533,338323.875535156,6534775.8492533,236,124,3.05939909716528
40166,338293.875535156,6534775.8492533,338323.875535156,6534745.8492533,237,124,1.50378198633817
40167,338293.875535156,6534745.8492533,338323.875535156,6534715.8492533,238,124,1.28002695007366
40168,338293.875535156,6534715.8492533,338323.875535156,6534685.8492533,239,124,0.649433868394048
40169,338293.875535156,6534685.8492533,338323.875535156,6534655.8492533,240,124,3.45763504601997
40170,338293.875535156,6534655.8492533,338323.875535156,6534625.8492533,241,124,4.02200637992043
40171,338293.875535156,6534625.8492533,338323.875535156,6534595.8492533,242,124,5.12720740032808
40172,338293.875535156,6534595.8492533,338323.875535156,6534565.8492533,243,124,2.98723554112101
40173,338293.875535156,6534565.8492533,338323.875535156,6534535.8492533,244,124,3.02611250804395
40174,338293.875535156,6534535.8492533,338323.875535156,6534505.8492533,245,124,1.42959635503909
40175,338293.875535156,6534505.8492533,338323.875535156,6534475.8492533,246,124,1.03637295895992
40176,338293.875535156,6534475.8492533,338323.875535156,6534445.8492533,247,124,1.8115471497022
40177,338293.875535156,6534445.8492533,338323.875535156,6534415.8492533,248,124,1.58388747804019
40178,338293.875535156,6534415.8492533,338323.875535156,6534385.8492533,249,124,2.17511125658789
40179,338293.875535156,6534385.8492533,338323.875535156,6534355.8492533,250,124,3.77926134208934
40180,338293.875535156,6534355.8492533,338323.875535156,6534325.8492533,251,124,1.37351030997271
40181,338293.875535156,6534325.8492533,338323.875535156,6534295.8492533,252,124,0.155429655289163
40182,338293.875535156,6534295.8492533,338323.875535156,6534265.8492533,253,124,0.110505435069108
40444,338323.875535156,6536095.8492533,338353.875535156,6536065.8492533,193,125,3.33255485205622
40445,338323.875535156,6536065.8492533,338353.875535156,6536035.8492533,194,125,2.61198195709756
40446,338323.875535156,6536035.8492533,338353.875535156,6536005.8492533,195,125,1.10455979582851
40447,338323.875535156,6536005.8492533,338353.875535156,6535975.8492533,196,125,1.36699599061227
40448,338323.875535156,6535975.8492533,338353.875535156,6535945.8492533,197,125,1.85752189370214
40449,338323.875535156,6535945.8492533,338353.875535156,6535915.8492533,198,125,1.67947169007087
40450,338323.875535156,6535915.8492533,338353.875535156,6535885.8492533,199,125,1.16839039856176
40451,338323.875535156,6535885.8492533,338353.875535156,6535855.8492533,200,125,1.07226410294424
40452,338323.875535156,6535855.8492533,338353.875535156,6535825.8492533,201,125,3.504201196224
40453,338323.875535156,6535825.8492533,338353.875535156,6535795.8492533,202,125,2.2982616136512
40454,338323.875535156,6535795.8492533,338353.875535156,6535765.8492533,203,125,2.46254426814321
40455,338323.875535156,6535765.8492533,338353.875535156,6535735.8492533,204,125,3.92284781831008
40456,338323.875535156,6535735.8492533,338353.875535156,6535705.8492533,205,125,2.28085987859217
40457,338323.875535156,6535705.8492533,338353.875535156,6535675.8492533,206,125,2.29137167786696
40458,338323.875535156,6535675.8492533,338353.875535156,6535645.8492533,207,125,2.28959291652568
40459,338323.875535156,6535645.8492533,338353.875535156,6535615.8492533,208,125,2.84971314290441
40460,338323.875535156,6535615.8492533,338353.875535156,6535585.8492533,209,125,3.41928396117216
40461,338323.875535156,6535585.8492533,338353.875535156,6535555.8492533,210,125,3.18166586247886
40462,338323.875535156,6535555.8492533,338353.875535156,6535525.8492533,211,125,1.99704373609138
40463,338323.875535156,6535525.8492533,338353.875535156,6535495.8492533,212,125,2.89603764636094
40464,338323.875535156,6535495.8492533,338353.875535156,6535465.8492533,213,125,2.01222559294523
40465,338323.875535156,6535465.8492533,338353.875535156,6535435.8492533,214,125,1.79605656838049
40466,338323.875535156,6535435.8492533,338353.875535156,6535405.8492533,215,125,2.14992712872673
40467,338323.875535156,6535405.8492533,338353.875535156,6535375.8492533,216,125,2.67967809265536
40468,338323.875535156,6535375.8492533,338353.875535156,6535345.8492533,217,125,1.96703033633109
40469,338323.875535156,6535345.8492533,338353.875535156,6535315.8492533,218,125,2.997060467218
40470,338323.875535156,6535315.8492533,338353.875535156,6535285.8492533,219,125,3.21952286802196
40471,338323.875535156,6535285.8492533,338353.875535156,6535255.8492533,220,125,1.29128291094638
40472,338323.875535156,6535255.8492533,338353.875535156,6535225.8492533,221,125,2.25415752122024
40473,338323.875535156,6535225.8492533,338353.875535156,6535195.8492533,222,125,1.29774537116897
40474,338323.875535156,6535195.8492533,338353.875535156,6535165.8492533,223,125,2.76057105878234
40475,338323.875535156,6535165.8492533,338353.875535156,6535135.8492533,224,125,1.61661326225762
40476,338323.875535156,6535135.8492533,338353.875535156,6535105.8492533,225,125,0.452313367829791
40477,338323.875535156,6535105.8492533,338353.875535156,6535075.8492533,226,125,2.16121945760688
40478,338323.875535156,6535075.8492533,338353.875535156,6535045.8492533,227,125,1.84697529011035
40479,338323.875535156,6535045.8492533,338353.875535156,6535015.8492533,228,125,2.46653261583976
40480,338323.875535156,6535015.8492533,338353.875535156,6534985.8492533,229,125,2.9763917742528
40481,338323.875535156,6534985.8492533,338353.875535156,6534955.8492533,230,125,3.21105957148026
40482,338323.875535156,6534955.8492533,338353.875535156,6534925.8492533,231,125,3.13660251401527
40483,338323.875535156,6534925.8492533,338353.875535156,6534895.8492533,232,125,1.20846286863328
40484,338323.875535156,6534895.8492533,338353.875535156,6534865.8492533,233,125,2.20995545589644
40485,338323.875535156,6534865.8492533,338353.875535156,6534835.8492533,234,125,2.46238116248836
40486,338323.875535156,6534835.8492533,338353.875535156,6534805.8492533,235,125,2.44831260666855
40487,338323.875535156,6534805.8492533,338353.875535156,6534775.8492533,236,125,2.46302275664346
40488,338323.875535156,6534775.8492533,338353.875535156,6534745.8492533,237,125,3.03925495871648
40489,338323.875535156,6534745.8492533,338353.875535156,6534715.8492533,238,125,2.9958318782763
40490,338323.875535156,6534715.8492533,338353.875535156,6534685.8492533,239,125,2.45797537719673
40491,338323.875535156,6534685.8492533,338353.875535156,6534655.8492533,240,125,3.83353142797612
40492,338323.875535156,6534655.8492533,338353.875535156,6534625.8492533,241,125,3.15907395388357
40493,338323.875535156,6534625.8492533,338353.875535156,6534595.8492533,242,125,3.47477196368815
40494,338323.875535156,6534595.8492533,338353.875535156,6534565.8492533,243,125,3.017306738301
40495,338323.875535156,6534565.8492533,338353.875535156,6534535.8492533,244,125,3.44982756714951
