fid,id,left,top,right,bottom,CNN_10m_1mean
"459803","459803",16174674.9785,-3673844.1298,16174684.9785,-3673854.1298,1.23267957091331
"459804","459804",16174674.9785,-3673854.1298,16174684.9785,-3673864.1298,1.65097333908081
"459805","459805",16174674.9785,-3673864.1298,16174684.9785,-3673874.1298,1.19264432549477
"459806","459806",16174674.9785,-3673874.1298,16174684.9785,-3673884.1298,0.548345085978508
"459807","459807",16174674.9785,-3673884.1298,16174684.9785,-3673894.1298,0.429186591804028
"459808","459808",16174674.9785,-3673894.1298,16174684.9785,-3673904.1298,0.555813638865948
"459809","459809",16174674.9785,-3673904.1298,16174684.9785,-3673914.1298,0.906899379359351
"459810","459810",16174674.9785,-3673914.1298,16174684.9785,-3673924.1298,1.4229536706751
"459811","459811",16174674.9785,-3673924.1298,16174684.9785,-3673934.1298,2.14289927482605
"459812","459812",16174674.9785,-3673934.1298,16174684.9785,-3673944.1298,2.01527877449989
"459813","459813",16174674.9785,-3673944.1298,16174684.9785,-3673954.1298,1.98238394260407
"459814","459814",16174674.9785,-3673954.1298,16174684.9785,-3673964.1298,2.59250619435551
"459815","459815",16174674.9785,-3673964.1298,16174684.9785,-3673974.1298,4.04130216836929
"459816","459816",16174674.9785,-3673974.1298,16174684.9785,-3673984.1298,4.61365986585617
"500397","500397",16175034.9785,-3675864.1298,16175044.9785,-3675874.1298,0.416418926119804
"500396","500396",16175034.9785,-3675854.1298,16175044.9785,-3675864.1298,0.293393972963095
"500395","500395",16175034.9785,-3675844.1298,16175044.9785,-3675854.1298,0.379402834773064
"500394","500394",16175034.9785,-3675834.1298,16175044.9785,-3675844.1298,0.390998589247465
"500393","500393",16175034.9785,-3675824.1298,16175044.9785,-3675834.1298,0.413560723662376
"500392","500392",16175034.9785,-3675814.1298,16175044.9785,-3675824.1298,0.569429627656937
"500391","500391",16175034.9785,-3675804.1298,16175044.9785,-3675814.1298,0.694196584820747
"500390","500390",16175034.9785,-3675794.1298,16175044.9785,-3675804.1298,0.640483204722404
"500389","500389",16175034.9785,-3675784.1298,16175044.9785,-3675794.1298,0.748748355507851
"500388","500388",16175034.9785,-3675774.1298,16175044.9785,-3675784.1298,1.08889273405075
"500387","500387",16175034.9785,-3675764.1298,16175044.9785,-3675774.1298,1.56015836834908
"500386","500386",16175034.9785,-3675754.1298,16175044.9785,-3675764.1298,2.11900845170021
"500385","500385",16175034.9785,-3675744.1298,16175044.9785,-3675754.1298,2.37081768870354
"500384","500384",16175034.9785,-3675734.1298,16175044.9785,-3675744.1298,1.83459490656853
"500383","500383",16175034.9785,-3675724.1298,16175044.9785,-3675734.1298,1.52226088404655
"500382","500382",16175034.9785,-3675714.1298,16175044.9785,-3675724.1298,2.9278692317009
"500381","500381",16175034.9785,-3675704.1298,16175044.9785,-3675714.1298,4.82891484737396
"500380","500380",16175034.9785,-3675694.1298,16175044.9785,-3675704.1298,4.72743875741959
"500379","500379",16175034.9785,-3675684.1298,16175044.9785,-3675694.1298,2.90331574678421
"500378","500378",16175034.9785,-3675674.1298,16175044.9785,-3675684.1298,1.94962707877159
"500377","500377",16175034.9785,-3675664.1298,16175044.9785,-3675674.1298,1.82106273174286
"500376","500376",16175034.9785,-3675654.1298,16175044.9785,-3675664.1298,2.03088102221489
"500375","500375",16175034.9785,-3675644.1298,16175044.9785,-3675654.1298,2.80665274858475
"500374","500374",16175034.9785,-3675634.1298,16175044.9785,-3675644.1298,4.09014484405518
"500373","500373",16175034.9785,-3675624.1298,16175044.9785,-3675634.1298,4.83287902355194
"500372","500372",16175034.9785,-3675614.1298,16175044.9785,-3675624.1298,4.8409140586853
"500371","500371",16175034.9785,-3675604.1298,16175044.9785,-3675614.1298,4.57397605895996
"500370","500370",16175034.9785,-3675594.1298,16175044.9785,-3675604.1298,4.90861006259918
"500369","500369",16175034.9785,-3675584.1298,16175044.9785,-3675594.1298,5.00797392845154
"500368","500368",16175034.9785,-3675574.1298,16175044.9785,-3675584.1298,4.76735481739044
"500367","500367",16175034.9785,-3675564.1298,16175044.9785,-3675574.1298,4.27561726570129
"500366","500366",16175034.9785,-3675554.1298,16175044.9785,-3675564.1298,3.78630083322525
"500365","500365",16175034.9785,-3675544.1298,16175044.9785,-3675554.1298,3.3940654706955
"500364","500364",16175034.9785,-3675534.1298,16175044.9785,-3675544.1298,2.97059616327286
"500363","500363",16175034.9785,-3675524.1298,16175044.9785,-3675534.1298,1.99528991103172
"500362","500362",16175034.9785,-3675514.1298,16175044.9785,-3675524.1298,0.820407186150551
"500398","500398",16175034.9785,-3675874.1298,16175044.9785,-3675884.1298,0.785467746257782
"500399","500399",16175034.9785,-3675884.1298,16175044.9785,-3675894.1298,0.959634710550308
"500400","500400",16175034.9785,-3675894.1298,16175044.9785,-3675904.1298,0.802274025082588
"500401","500401",16175034.9785,-3675904.1298,16175044.9785,-3675914.1298,0.656880288422108
"500402","500402",16175034.9785,-3675914.1298,16175044.9785,-3675924.1298,0.486301428377628
"500403","500403",16175034.9785,-3675924.1298,16175044.9785,-3675934.1298,0.436061368882656
"500404","500404",16175034.9785,-3675934.1298,16175044.9785,-3675944.1298,0.510483868718147
"500405","500405",16175034.9785,-3675944.1298,16175044.9785,-3675954.1298,1.00555040180683
"500406","500406",16175034.9785,-3675954.1298,16175044.9785,-3675964.1298,2.2938173019886
"500407","500407",16175034.9785,-3675964.1298,16175044.9785,-3675974.1298,3.69466236114502
"500408","500408",16175034.9785,-3675974.1298,16175044.9785,-3675984.1298,3.90485476732254
"500409","500409",16175034.9785,-3675984.1298,16175044.9785,-3675994.1298,2.92361955881119
"500410","500410",16175034.9785,-3675994.1298,16175044.9785,-3676004.1298,2.52056017637253
"500411","500411",16175034.9785,-3676004.1298,16175044.9785,-3676014.1298,2.86706191301346
"500412","500412",16175034.9785,-3676014.1298,16175044.9785,-3676024.1298,3.00497694015503
"500345","500345",16175034.9785,-3675344.1298,16175044.9785,-3675354.1298,0.381601858139038
"500344","500344",16175034.9785,-3675334.1298,16175044.9785,-3675344.1298,0.230814595967531
"500343","500343",16175034.9785,-3675324.1298,16175044.9785,-3675334.1298,0.18714548394084
"500342","500342",16175034.9785,-3675314.1298,16175044.9785,-3675324.1298,0.353343304544687
"500341","500341",16175034.9785,-3675304.1298,16175044.9785,-3675314.1298,0.744013487398624
"500340","500340",16175034.9785,-3675294.1298,16175044.9785,-3675304.1298,1.36978370726109
"500339","500339",16175034.9785,-3675284.1298,16175044.9785,-3675294.1298,2.08328122615814
"500338","500338",16175034.9785,-3675274.1298,16175044.9785,-3675284.1298,2.75794063925743
"500337","500337",16175034.9785,-3675264.1298,16175044.9785,-3675274.1298,3.26933669805527
"500336","500336",16175034.9785,-3675254.1298,16175044.9785,-3675264.1298,3.91481739997864
"500335","500335",16175034.9785,-3675244.1298,16175044.9785,-3675254.1298,5.03077844381332
"500334","500334",16175034.9785,-3675234.1298,16175044.9785,-3675244.1298,5.8329812335968
"500333","500333",16175034.9785,-3675224.1298,16175044.9785,-3675234.1298,4.82021988153458
"500332","500332",16175034.9785,-3675214.1298,16175044.9785,-3675224.1298,3.3089932513237
"500331","500331",16175034.9785,-3675204.1298,16175044.9785,-3675214.1298,2.35795464277267
"500330","500330",16175034.9785,-3675194.1298,16175044.9785,-3675204.1298,2.50810725331306
"500329","500329",16175034.9785,-3675184.1298,16175044.9785,-3675194.1298,3.15100375652313
"500328","500328",16175034.9785,-3675174.1298,16175044.9785,-3675184.1298,3.75680677652359
"500327","500327",16175034.9785,-3675164.1298,16175044.9785,-3675174.1298,3.85758288145065
"500326","500326",16175034.9785,-3675154.1298,16175044.9785,-3675164.1298,3.74323333978653
"500325","500325",16175034.9785,-3675144.1298,16175044.9785,-3675154.1298,3.98152881622314
"500324","500324",16175034.9785,-3675134.1298,16175044.9785,-3675144.1298,4.60881999492645
"500323","500323",16175034.9785,-3675124.1298,16175044.9785,-3675134.1298,4.69897189617157
