"ID","Volume..L.","DBH..cm.","vol_opt_mean","Volume.Standard.Deviation..L.","dbhqsm_mean..cm.","DBH.Standard.Deviation..cm.","Number.of.Models","Height..m.","Surface.Area..m.2.","PatchDiam1","PatchDiam2Min","PatchDiam2Max","Processing.Time","X","Y","Z","Lat","Long","Elevation","plot_id","tree_id"
"AM2_Mt_Grenfell_NP.0366",71.0652618,7.49120936,76.46,9.58,10,5,4,2.88345337,0,0,0,0,0,-21.2152862548828,25.710018157959,261.133728027344,-31.3001627484297,145.305528897651,261.133815302514,"AM2_Mt_Grenfell_NP","0366"
"AM2_Mt_Grenfell_NP.0408",69.6625977,13.886258,69.32,2.15,14,0,4,5.00793457,0,0,0,0,0,16.6291236877441,-3.1812252998352,262.464172363281,-31.3004233135466,145.305926391262,262.464194816537,"AM2_Mt_Grenfell_NP","0408"
"AM2_Mt_Grenfell_NP.0344",68.2582779,12.492156,68.82,2.28,12,1,4,5.02664185,0,0,0,0,0,70.272575378418,15.4083909988403,264.224212646484,-31.3002556551363,145.306489827251,264.224618088454,"AM2_Mt_Grenfell_NP","0344"
"AM2_Mt_Grenfell_NP.0032",68.1859436,15.5504018,65.77,6.73,16,1,4,6.012146,0,0,0,0,0,13.0694627761841,-57.7016639709473,261.127349853516,-31.3009150238265,145.305889003536,261.127625274472,"AM2_Mt_Grenfell_NP","0032"
"AM2_Mt_Grenfell_NP.0326",66.0519867,9.76186767,63.87,4.39,10,1,4,5.36886597,0,0,0,0,0,3.2302577495575,22.6471195220947,261.975250244141,-31.3001903723907,145.305785657815,261.975291427225,"AM2_Mt_Grenfell_NP","0326"
"AM2_Mt_Grenfell_NP.0348",65.3411713,11.8614838,66.74,3.52,12,0,4,7.3855896,0,0,0,0,0,20.0605144500732,-5.08566188812256,262.303405761719,-31.3004404892687,145.305962432503,262.303439315408,"AM2_Mt_Grenfell_NP","0348"
"AM2_Mt_Grenfell_NP.0056",63.7414818,12.2335896,65.19,2.51,13,0,4,4.83093262,0,0,0,0,0,-10.908013343811,40.5265159606934,261.774597167969,-31.3000291212144,145.305637158742,261.774735749699,"AM2_Mt_Grenfell_NP","0056"
"AM2_Mt_Grenfell_NP.0234",62.7117996,11.9482771,79.4,21.06,13,2,4,1.14450073,0,0,0,0,0,-71.456184387207,-45.8765487670898,259.570953369141,-31.3008083731814,145.305001194501,259.571518908255,"AM2_Mt_Grenfell_NP","0234"
"AM2_Mt_Grenfell_NP.0180",61.3112068,10.6386855,61.55,0.82,10,1,4,2.99584961,0,0,0,0,0,40.3976516723633,45.2025566101074,263.685516357422,-31.2999869483006,145.306176039081,263.685804983601,"AM2_Mt_Grenfell_NP","0180"
"AM2_Mt_Grenfell_NP.0167",60.6251297,4.95809019,60.35,5.3,6,2,4,2.5272522,0,0,0,0,0,44.2250022888184,-48.1716804504395,262.270294189453,-31.3008290737424,145.306216243236,262.270630002953,"AM2_Mt_Grenfell_NP","0167"
"AM2_Mt_Grenfell_NP.0257",59.6354294,5.55233285,60.47,1.92,5,2,4,3.4744873,0,0,0,0,0,24.2089252471924,-46.7878379821777,261.728118896484,-31.3008165937379,145.306006005875,261.728337087668,"AM2_Mt_Grenfell_NP","0257"
"AM2_Mt_Grenfell_NP.0415",59.0628777,8.35231841,82.67,34.57,11,4,4,4.95559692,0,0,0,0,0,-9.45327281951904,-2.66973567008972,261.343933105469,-31.3004187005972,145.305652437955,261.343940665014,"AM2_Mt_Grenfell_NP","0415"
"AM2_Mt_Grenfell_NP.0200",58.1817322,7.92678818,57.59,2.41,11,2,4,6.4006958,0,0,0,0,0,44.1356201171875,12.9150314331055,263.293395996094,-31.3002781435644,145.306215301646,263.293561684899,"AM2_Mt_Grenfell_NP","0200"
"AM2_Mt_Grenfell_NP.0193",57.8627205,7.18378797,57.96,2.39,7,1,4,3.646698,0,0,0,0,0,28.7867393493652,-2.20979261398315,262.582214355469,-31.3004145521304,145.306054087272,262.582279641181,"AM2_Mt_Grenfell_NP","0193"
"AM2_Mt_Grenfell_NP.0150",57.3675041,10.8173713,57.28,0.76,11,0,4,6.94754028,0,0,0,0,0,52.9250106811523,18.0169124603271,263.58056640625,-31.3002321302522,145.306307619497,263.580811329186,"AM2_Mt_Grenfell_NP","0150"
"AM2_Mt_Grenfell_NP.0110",56.7978058,18.9037368,64.07,18.97,19,0,4,1.73968506,0,0,0,0,0,-9.03139019012451,21.4556846618652,261.898986816406,-31.3002011176982,145.305656869375,261.899029436521,"AM2_Mt_Grenfell_NP","0110"
"AM2_Mt_Grenfell_NP.0579",55.8428421,3.95690575,55.34,2.77,4,2,4,2.87609863,0,0,0,0,0,-11.4963893890381,38.718505859375,261.777618408203,-31.3000454273333,145.305630978809,261.777746746316,"AM2_Mt_Grenfell_NP","0579"
"AM2_Mt_Grenfell_NP.0453",55.6317406,5.34277596,57.74,3.24,5,1,4,3.21783447,0,0,0,0,0,-21.143964767456,25.9849433898926,261.140960693359,-31.3001602689289,145.305529646771,261.14104884956,"AM2_Mt_Grenfell_NP","0453"
"AM2_Mt_Grenfell_NP.0002",53.9088898,6.45599738,55.03,2.48,6,1,4,3.50808716,0,0,0,0,0,-48.4640083312988,35.6410255432129,260.341400146484,-31.3000731815611,145.305242695144,260.341684074141,"AM2_Mt_Grenfell_NP","0002"
"AM2_Mt_Grenfell_NP.0158",53.4349327,11.0632189,47.99,13.26,8,2,4,2.03256226,0,0,0,0,0,-0.930356800556183,65.8586502075195,262.538116455078,-31.2998006552783,145.305741957449,262.538457890041,"AM2_Mt_Grenfell_NP","0158"
"AM2_Mt_Grenfell_NP.0338",52.8241768,5.34604304,53.04,2.39,6,1,4,4.8989563,0,0,0,0,0,18.8654556274414,-58.0109176635742,261.452270507812,-31.3009178128247,145.30594988137,261.452563242055,"AM2_Mt_Grenfell_NP","0338"
"AM2_Mt_Grenfell_NP.0046",52.4236832,11.2628184,52.18,0.54,11,0,4,6.86340332,0,0,0,0,0,52.6601448059082,18.8566551208496,263.588104248047,-31.3002245567758,145.306304837471,263.588349418715,"AM2_Mt_Grenfell_NP","0046"
"AM2_Mt_Grenfell_NP.0160",51.1722717,8.58337134,52.55,5.92,8,1,4,3.90628052,0,0,0,0,0,0.567743480205536,16.1759872436523,261.770172119141,-31.3002487343883,145.305757692489,261.770192737691,"AM2_Mt_Grenfell_NP","0160"
"AM2_Mt_Grenfell_NP.0302",50.8363838,12.4263898,51.37,0.77,13,0,4,4.31106567,0,0,0,0,0,-39.9437713623047,44.1478500366211,261.061157226562,-31.2999964603617,145.305332186507,261.061435582116,"AM2_Mt_Grenfell_NP","0302"
"AM2_Mt_Grenfell_NP.0059",50.5458946,10.9000891,49.95,1.3,11,0,4,1.87081909,0,0,0,0,0,-31.4980564117432,-17.2639350891113,260.382965087891,-31.300550322745,145.305420892701,260.383066247217,"AM2_Mt_Grenfell_NP","0059"
"AM2_Mt_Grenfell_NP.0036",48.8454781,10.2834411,49.41,0.7,10,0,4,6.35601807,0,0,0,0,0,51.0268440246582,20.7038059234619,263.741851806641,-31.3002078977307,145.306287682226,263.742089464329,"AM2_Mt_Grenfell_NP","0036"
"AM2_Mt_Grenfell_NP.0534",48.3351822,11.2731412,42.75,12.02,10,3,4,5.85687256,0,0,0,0,0,37.2105712890625,9.18979454040527,263.056945800781,-31.3003117410488,145.306142565508,263.0570608899,"AM2_Mt_Grenfell_NP","0534"
"AM2_Mt_Grenfell_NP.0088",47.8949318,8.32962915,48.28,0.98,8,2,4,4.48248291,0,0,0,0,0,49.8854637145996,-9.20076942443848,263.020965576172,-31.3004776017874,145.306275695457,263.021167140454,"AM2_Mt_Grenfell_NP","0088"
"AM2_Mt_Grenfell_NP.0010",47.1738892,3.00088841,43.01,6.99,4,3,4,3.74279785,0,0,0,0,0,-43.1026268005371,54.0802307128906,260.956970214844,-31.2999068818391,145.305299008415,260.957345901988,"AM2_Mt_Grenfell_NP","0010"
"AM2_Mt_Grenfell_NP.0130",46.3913727,12.5852048,46.74,1.23,12,0,4,5.39068604,0,0,0,0,0,61.7541275024414,4.58840465545654,263.812164306641,-31.3003532391247,145.306400355659,263.812464637682,"AM2_Mt_Grenfell_NP","0130"
"AM2_Mt_Grenfell_NP.0252",46.1750946,15.3549388,48.85,4.49,16,0,4,0.179748535,0,0,0,0,0,12.2769651412964,-54.0769844055176,261.434265136719,-31.3008823334665,145.305880679537,261.434507098049,"AM2_Mt_Grenfell_NP","0252"
"AM2_Mt_Grenfell_NP.0401",42.3204727,14.1841725,38.83,6.61,11,3,4,3.49801636,0,0,0,0,0,-9.8311882019043,57.0255279541016,262.272735595703,-31.2998803195813,145.305648469169,262.272999104112,"AM2_Mt_Grenfell_NP","0401"
"AM2_Mt_Grenfell_NP.0311",41.9184189,13.513355,39.83,5.37,13,4,4,4.96603394,0,0,0,0,0,11.4892683029175,-58.4591903686523,261.555419921875,-31.3009218558044,145.305872406066,261.555699230172,"AM2_Mt_Grenfell_NP","0311"
"AM2_Mt_Grenfell_NP.0183",41.8992195,5.74517436,41.67,0.62,5,1,4,3.23800659,0,0,0,0,0,35.6081466674805,27.2289581298828,263.060150146484,-31.3001490490999,145.306125734014,263.060307802632,"AM2_Mt_Grenfell_NP","0183"
"AM2_Mt_Grenfell_NP.0259",41.8545647,9.26357508,40.01,3.16,8,2,4,1.23803711,0,0,0,0,0,12.3668346405029,-50.8131828308105,261.447692871094,-31.3008528978156,145.305881623435,261.447908062488,"AM2_Mt_Grenfell_NP","0259"
"AM2_Mt_Grenfell_NP.0103",39.7168922,9.88675952,40.01,0.35,10,0,4,6.29031372,0,0,0,0,0,47.6657104492188,11.7140674591064,263.315032958984,-31.300288974705,145.306252379516,263.315221699886,"AM2_Mt_Grenfell_NP","0103"
"AM2_Mt_Grenfell_NP.0101",39.2318306,14.1343549,26.86,15.16,10,6,4,1.72555542,0,0,0,0,0,35.9792518615723,42.8812713623047,263.854858398438,-31.3000078837122,145.30612963125,263.855104504153,"AM2_Mt_Grenfell_NP","0101"
"AM2_Mt_Grenfell_NP.0215",36.3712234,9.09630656,37.28,1.74,11,2,4,2.75274658,0,0,0,0,0,-37.3454132080078,-54.470588684082,260.105895996094,-31.3008858828823,145.305359474188,260.106238745153,"AM2_Mt_Grenfell_NP","0215"
"AM2_Mt_Grenfell_NP.0125",35.98629,4.62579578,31.19,6.88,6,2,4,5.65005493,0,0,0,0,0,21.3397312164307,-59.7069206237793,261.334930419922,-31.3009331087423,145.305975869804,261.335246657953,"AM2_Mt_Grenfell_NP","0125"
"AM2_Mt_Grenfell_NP.0007",35.6662788,21.3839322,32.3,4.4,20,2,4,1.44369507,0,0,0,0,0,13.4162273406982,-56.2261657714844,261.236907958984,-31.300901716556,145.305892645733,261.237170869485,"AM2_Mt_Grenfell_NP","0007"
