fid,id,left,top,right,bottom,CNN_20m_1mean
"117146","117146",16174744.9785,-3673944.1298,16174764.9785,-3673964.1298,0.290856192968786
"117147","117147",16174744.9785,-3673964.1298,16174764.9785,-3673984.1298,0.303434788901359
"117775","117775",16174764.9785,-3675304.1298,16174784.9785,-3675324.1298,2.01566294233004
"117774","117774",16174764.9785,-3675284.1298,16174784.9785,-3675304.1298,1.52393014059809
"117773","117773",16174764.9785,-3675264.1298,16174784.9785,-3675284.1298,1.83728790992782
"117772","117772",16174764.9785,-3675244.1298,16174784.9785,-3675264.1298,3.55177961640059
"117766","117766",16174764.9785,-3675124.1298,16174784.9785,-3675144.1298,1.26928750361917
"117765","117765",16174764.9785,-3675104.1298,16174784.9785,-3675124.1298,2.34158818461314
"117764","117764",16174764.9785,-3675084.1298,16174784.9785,-3675104.1298,4.2931435748509
"117763","117763",16174764.9785,-3675064.1298,16174784.9785,-3675084.1298,4.63132572728534
"117762","117762",16174764.9785,-3675044.1298,16174784.9785,-3675064.1298,3.93582692146301
"117697","117697",16174764.9785,-3673744.1298,16174784.9785,-3673764.1298,0.295068634640087
"117698","117698",16174764.9785,-3673764.1298,16174784.9785,-3673784.1298,0.350915162116289
"117699","117699",16174764.9785,-3673784.1298,16174784.9785,-3673804.1298,0.494021480828524
"117700","117700",16174764.9785,-3673804.1298,16174784.9785,-3673824.1298,0.584038182273507
"117701","117701",16174764.9785,-3673824.1298,16174784.9785,-3673844.1298,0.467589026167989
"117702","117702",16174764.9785,-3673844.1298,16174784.9785,-3673864.1298,0.275680723376572
"117703","117703",16174764.9785,-3673864.1298,16174784.9785,-3673884.1298,1.0351645648852
"117704","117704",16174764.9785,-3673884.1298,16174784.9785,-3673904.1298,1.88462096121162
"117705","117705",16174764.9785,-3673904.1298,16174784.9785,-3673924.1298,0.742116738222539
"117706","117706",16174764.9785,-3673924.1298,16174784.9785,-3673944.1298,0.549917440861464
"117707","117707",16174764.9785,-3673944.1298,16174784.9785,-3673964.1298,0.551637099273503
"117708","117708",16174764.9785,-3673964.1298,16174784.9785,-3673984.1298,0.139049144992605
"117741","117741",16174764.9785,-3674624.1298,16174784.9785,-3674644.1298,4.5411936044693
"117740","117740",16174764.9785,-3674604.1298,16174784.9785,-3674624.1298,4.01417641923917
"117739","117739",16174764.9785,-3674584.1298,16174784.9785,-3674604.1298,5.10789648406413
"117738","117738",16174764.9785,-3674564.1298,16174784.9785,-3674584.1298,4.47012844741344
"117737","117737",16174764.9785,-3674544.1298,16174784.9785,-3674564.1298,2.86844841301441
"117736","117736",16174764.9785,-3674524.1298,16174784.9785,-3674544.1298,2.91892521679401
"117735","117735",16174764.9785,-3674504.1298,16174784.9785,-3674524.1298,3.05794894218445
"117734","117734",16174764.9785,-3674484.1298,16174784.9785,-3674504.1298,3.75871004462242
"117733","117733",16174764.9785,-3674464.1298,16174784.9785,-3674484.1298,5.52649965643883
"117732","117732",16174764.9785,-3674444.1298,16174784.9785,-3674464.1298,4.43085225582123
"117731","117731",16174764.9785,-3674424.1298,16174784.9785,-3674444.1298,4.90648642897606
"117730","117730",16174764.9785,-3674404.1298,16174784.9785,-3674424.1298,4.15329879820347
"117729","117729",16174764.9785,-3674384.1298,16174784.9785,-3674404.1298,2.34212522804737
"117728","117728",16174764.9785,-3674364.1298,16174784.9785,-3674384.1298,2.61109357893467
"117727","117727",16174764.9785,-3674344.1298,16174784.9785,-3674364.1298,2.9362256783247
"117726","117726",16174764.9785,-3674324.1298,16174784.9785,-3674344.1298,4.32565526068211
"117725","117725",16174764.9785,-3674304.1298,16174784.9785,-3674324.1298,4.96281215965748
"117724","117724",16174764.9785,-3674284.1298,16174784.9785,-3674304.1298,3.2872475990653
"117723","117723",16174764.9785,-3674264.1298,16174784.9785,-3674284.1298,1.98977274179459
